CCAA,DATE,PCR_acumuado,MUERTOS_acumulado
Murcia,10/06/2020,1627,148
Navarra,10/06/2020,5340,516
La Rioja,10/06/2020,4063,362
Ceuta,10/06/2020,163,4
Melilla,10/06/2020,122,2
Asturias,11/06/2020,2435,330
Baleares,11/06/2020,2142,227
Cantabria,11/06/2020,2325,209
Madrid,11/06/2020,74155,9137
Murcia,11/06/2020,1629,150
Navarra,11/06/2020,5344,517
La Rioja,11/06/2020,4064,362
Ceuta,11/06/2020,163,4
Melilla,11/06/2020,122,2
Asturias,12/06/2020,2437,330
Baleares,12/06/2020,2146,227
Cantabria,12/06/2020,2328,209
Madrid,12/06/2020,74251,9145
Murcia,12/06/2020,1631,150
Navarra,12/06/2020,5349,518
La Rioja,12/06/2020,4065,362
Ceuta,12/06/2020,163,4
Melilla,12/06/2020,122,2
Asturias,13/06/2020,2437,331
Baleares,13/06/2020,2152,227
Cantabria,13/06/2020,2330,209
Madrid,13/06/2020,74414,9151
Murcia,13/06/2020,1631,150
Navarra,13/06/2020,5352,518
La Rioja,13/06/2020,4066,362
Ceuta,13/06/2020,163,4
Melilla,13/06/2020,123,2
Asturias,14/06/2020,2437,331
Baleares,14/06/2020,2154,227
Cantabria,14/06/2020,2330,209
Madrid,14/06/2020,74442,9152
Murcia,14/06/2020,1631,150
Navarra,14/06/2020,5352,518
La Rioja,14/06/2020,4068,362
Ceuta,14/06/2020,163,4
Melilla,14/06/2020,124,2
Asturias,15/06/2020,2436,332
Baleares,15/06/2020,2157,227
Cantabria,15/06/2020,2331,209
Madrid,15/06/2020,74460,9157
Murcia,15/06/2020,1632,150
Navarra,15/06/2020,5352,518
La Rioja,15/06/2020,4069,362
Ceuta,15/06/2020,163,4
Melilla,15/06/2020,124,2
Asturias,16/06/2020,2436,332
Baleares,16/06/2020,2163,227
Cantabria,16/06/2020,2333,209
Madrid,16/06/2020,74598,9160
Murcia,16/06/2020,1632,150
Navarra,16/06/2020,5353,518
La Rioja,16/06/2020,4069,362
Ceuta,16/06/2020,163,4
Melilla,16/06/2020,124,2
Asturias,17/06/2020,2435,332
Baleares,17/06/2020,2167,224
Cantabria,17/06/2020,2336,209
Madrid,17/06/2020,74701,9164
Murcia,17/06/2020,1634,150
Navarra,17/06/2020,5359,518
La Rioja,17/06/2020,4070,362
Ceuta,17/06/2020,163,4
Melilla,17/06/2020,124,2
Asturias,18/06/2020,2435,332
Baleares,18/06/2020,2167,224
Cantabria,18/06/2020,2336,209
Madrid,18/06/2020,74810,9168
Murcia,18/06/2020,1638,150
Navarra,18/06/2020,5364,518
La Rioja,18/06/2020,4072,362
Ceuta,18/06/2020,163,4
Melilla,18/06/2020,124,2
Asturias,19/06/2020,2435,333
Baleares,19/06/2020,2167,224
Cantabria,19/06/2020,2337,209
Madrid,19/06/2020,74953,9169
Murcia,19/06/2020,1641,150
Navarra,19/06/2020,5371,528
La Rioja,19/06/2020,4072,365
Ceuta,19/06/2020,163,4
Melilla,19/06/2020,124,2
Asturias,20/06/2020,2435,333
Baleares,20/06/2020,2174,224
Cantabria,20/06/2020,2338,209
Madrid,20/06/2020,75107,9171
Murcia,20/06/2020,1641,150
Navarra,20/06/2020,5379,528
La Rioja,20/06/2020,4072,365
Ceuta,20/06/2020,163,4
Melilla,20/06/2020,124,2
Asturias,21/06/2020,2435,333
Baleares,21/06/2020,2179,224
Cantabria,21/06/2020,2343,209
Madrid,21/06/2020,75145,9172
Murcia,21/06/2020,1641,150
Navarra,21/06/2020,5382,528
La Rioja,21/06/2020,4072,365
Ceuta,21/06/2020,163,4
Melilla,21/06/2020,124,2
Asturias,22/06/2020,2435,334
Baleares,22/06/2020,2187,226
Cantabria,22/06/2020,2343,209
Madrid,22/06/2020,75169,9174
Murcia,22/06/2020,1656,150
Navarra,22/06/2020,5403,528
La Rioja,22/06/2020,4073,365
Ceuta,22/06/2020,163,4
Melilla,22/06/2020,124,2
Asturias,23/06/2020,2435,334
Baleares,23/06/2020,2186,226
Cantabria,23/06/2020,2345,209
Madrid,23/06/2020,75207,9175
Murcia,23/06/2020,1656,150
Navarra,23/06/2020,5416,528
La Rioja,23/06/2020,4074,365
Ceuta,23/06/2020,164,4
Melilla,23/06/2020,126,2
Asturias,24/06/2020,2435,334
Baleares,24/06/2020,2189,225
Cantabria,24/06/2020,2345,209
Madrid,24/06/2020,75290,9177
Murcia,24/06/2020,1660,150
Navarra,24/06/2020,5427,528
La Rioja,24/06/2020,4074,365
Ceuta,24/06/2020,164,4
Melilla,24/06/2020,126,2
Asturias,25/06/2020,2435,335
Baleares,25/06/2020,2189,225
Cantabria,25/06/2020,2348,209
Madrid,25/06/2020,75363,9182
Murcia,25/06/2020,1660,150
Navarra,25/06/2020,5436,528
La Rioja,25/06/2020,4074,365
Ceuta,25/06/2020,163,4
Melilla,25/06/2020,126,2
Asturias,26/06/2020,2435,335
Baleares,26/06/2020,2192,226
Cantabria,26/06/2020,2350,209
Madrid,26/06/2020,75467,9187
Murcia,26/06/2020,1661,150
Navarra,26/06/2020,5443,528
La Rioja,26/06/2020,4075,365
Ceuta,26/06/2020,163,4
Melilla,26/06/2020,126,2
Asturias,27/06/2020,2435,335
Baleares,27/06/2020,2204,226
Cantabria,27/06/2020,2356,209
Madrid,27/06/2020,75558,9189
Murcia,27/06/2020,1682,150
Navarra,27/06/2020,5451,528
La Rioja,27/06/2020,4076,366
Ceuta,27/06/2020,163,4
Melilla,27/06/2020,126,2
Asturias,28/06/2020,2435,335
Baleares,28/06/2020,2204,226
Cantabria,28/06/2020,2356,209
Madrid,28/06/2020,75583,9189
Murcia,28/06/2020,1682,150
Navarra,28/06/2020,5460,528
La Rioja,28/06/2020,4076,366
Ceuta,28/06/2020,163,4
Melilla,28/06/2020,126,2
Asturias,29/06/2020,2435,335
Baleares,29/06/2020,2204,227
Cantabria,29/06/2020,2356,209
Madrid,29/06/2020,75594,9193
Murcia,29/06/2020,1682,150
Navarra,29/06/2020,5464,528
La Rioja,29/06/2020,4076,366
Ceuta,29/06/2020,163,4
Melilla,29/06/2020,126,2
Asturias,30/06/2020,2435,335
Baleares,30/06/2020,2211,227
Cantabria,30/06/2020,2357,209
Madrid,30/06/2020,75653,9193
Murcia,30/06/2020,1687,150
Navarra,30/06/2020,5464,528
La Rioja,30/06/2020,4076,366
Ceuta,30/06/2020,163,4
Melilla,30/06/2020,126,2
Asturias,01/07/2020,2435,338
Baleares,01/07/2020,2218,227
Cantabria,01/07/2020,2358,209
Madrid,01/07/2020,75716,9196
Murcia,01/07/2020,1693,148
Navarra,01/07/2020,5469,528
La Rioja,01/07/2020,4076,366
Ceuta,01/07/2020,163,4
Melilla,01/07/2020,126,2
Asturias,02/07/2020,2435,338
Baleares,02/07/2020,2222,227
Cantabria,02/07/2020,2358,209
Madrid,02/07/2020,75763,9199
Murcia,02/07/2020,1693,148
Navarra,02/07/2020,5477,528
La Rioja,02/07/2020,4077,366
Ceuta,02/07/2020,163,4
Melilla,02/07/2020,126,2
Asturias,03/07/2020,2435,338
Baleares,03/07/2020,2222,227
Cantabria,03/07/2020,2361,209
Madrid,03/07/2020,75822,9200
Murcia,03/07/2020,1701,148
Navarra,03/07/2020,5480,528
La Rioja,03/07/2020,4078,366
Ceuta,03/07/2020,163,4
Melilla,03/07/2020,126,2
Asturias,04/07/2020,2435,338
Baleares,04/07/2020,2222,227
Cantabria,04/07/2020,2362,209
Madrid,04/07/2020,75880,9200
Murcia,04/07/2020,1709,148
Navarra,04/07/2020,5480,528
La Rioja,04/07/2020,4078,366
Ceuta,04/07/2020,163,4
Melilla,04/07/2020,126,2
Asturias,05/07/2020,2435,338
Baleares,05/07/2020,2240,228
Cantabria,05/07/2020,2362,209
Madrid,05/07/2020,75898,9200
Murcia,05/07/2020,1709,148
Navarra,05/07/2020,5483,528
La Rioja,05/07/2020,4078,366
Ceuta,05/07/2020,163,4
Melilla,05/07/2020,126,2
Asturias,06/07/2020,2435,338
Baleares,06/07/2020,2240,228
Cantabria,06/07/2020,2362,211
Madrid,06/07/2020,75914,9206
Murcia,06/07/2020,1709,148
Navarra,06/07/2020,5486,528
La Rioja,06/07/2020,4078,366
Ceuta,06/07/2020,163,4
Melilla,06/07/2020,126,2
Asturias,07/07/2020,2436,338
Baleares,07/07/2020,2240,229
Cantabria,07/07/2020,2363,211
Madrid,07/07/2020,75946,9208
Murcia,07/07/2020,1711,148
Navarra,07/07/2020,5489,528
La Rioja,07/07/2020,,366
Ceuta,07/07/2020,163,4
Melilla,07/07/2020,126,2
Asturias,08/07/2020,2437,339
Baleares,08/07/2020,2242,229
Cantabria,08/07/2020,2363,211
Madrid,08/07/2020,76020,9211
Murcia,08/07/2020,1717,148
Navarra,08/07/2020,5495,528
La Rioja,08/07/2020,,366
Ceuta,08/07/2020,163,4
Melilla,08/07/2020,126,2
Asturias,09/07/2020,2438,339
Baleares,09/07/2020,2248,229
Cantabria,09/07/2020,2363,211
Madrid,09/07/2020,76056,9213
Murcia,09/07/2020,,148
Navarra,09/07/2020,,528
La Rioja,09/07/2020,,366
Ceuta,09/07/2020,163,4
Melilla,09/07/2020,126,2
Asturias,10/07/2020,2440,339
Baleares,10/07/2020,,229
Cantabria,10/07/2020,2368,211
Madrid,10/07/2020,76101,9216
Murcia,10/07/2020,1733,148
Navarra,10/07/2020,5529,528
La Rioja,10/07/2020,,366
Ceuta,10/07/2020,163,4
Melilla,10/07/2020,126,2
Asturias,11/07/2020,2439,339
Baleares,11/07/2020,,229
Cantabria,11/07/2020,2367,211
Madrid,11/07/2020,76165,9216
Murcia,11/07/2020,,
Navarra,11/07/2020,,
La Rioja,11/07/2020,,
Ceuta,11/07/2020,,
Melilla,11/07/2020,,
Asturias,12/07/2020,,
Baleares,12/07/2020,,
Cantabria,12/07/2020,,
Madrid,12/07/2020,76186,9216
Murcia,12/07/2020,,148
Navarra,12/07/2020,5537,528
La Rioja,12/07/2020,4099,366
Ceuta,12/07/2020,163,4
Melilla,12/07/2020,126,2
Asturias,13/07/2020,2442,339
Baleares,13/07/2020,2272,229
Cantabria,13/07/2020,2369,211
Madrid,13/07/2020,76197,9220
Murcia,13/07/2020,1769,148
Navarra,13/07/2020,5543,
La Rioja,13/07/2020,4100,366
Ceuta,13/07/2020,163,4
Melilla,13/07/2020,126,2
Asturias,14/07/2020,2442,339
Baleares,14/07/2020,,
Cantabria,14/07/2020,,
Madrid,14/07/2020,76225,9221
Murcia,14/07/2020,1774,148
Navarra,14/07/2020,,
La Rioja,14/07/2020,4102,366
Ceuta,14/07/2020,163,4
Melilla,14/07/2020,126,2
