TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
03/06/2020,24,Osona,08269,Seva,1,Dona,Sospitós,1
03/06/2020,33,Segrià ,25053,Benavent de Segrià,0,Home,Sospitós,1
03/06/2020,11,Baix Llobregat,08077,Esplugues de Llobregat,0,Home,Sospitós,2
03/06/2020,30,Ribera d'Ebre,43019,Ascó,0,Home,Sospitós,1
03/06/2020,40,Vallès Occidental,08238,Sant Quirze del Vallès,0,Home,Sospitós,1
03/06/2020,11,Baix Llobregat,08056,Castelldefels,1,Dona,Sospitós,2
03/06/2020,34,Selva,17103,Maçanet de la Selva,1,Dona,Sospitós,1
03/06/2020,33,Segrià ,25016,Alguaire,1,Dona,Sospitós,1
03/06/2020,40,Vallès Occidental,08260,Santa Perpétua de Mogoda,0,Home,Sospitós,1
03/06/2020,23,Noguera,25164,Penelles,1,Dona,Sospitós,1
03/06/2020,13,Barcelonès,08019,Barcelona,1,Dona,Sospitós,166
03/06/2020,17,Garraf,08307,Vilanova i la Geltrú,1,Dona,Positiu per ELISA,3
03/06/2020,21,Maresme,08009,Argentona,0,Home,Sospitós,5
03/06/2020,10,Baix Empordà ,17004,Albons,0,Home,Sospitós,1
03/06/2020,03,Alt Penedès,08251,Santa Margarida i els Monjos,0,Home,Sospitós,1
03/06/2020,21,Maresme,08264,Sant Vicenç de Montalt,0,Home,Sospitós,2
03/06/2020,21,Maresme,08219,Vilassar de Mar,0,Home,Sospitós,3
03/06/2020,34,Selva,17180,Santa Coloma de Farners,0,Home,Sospitós,2
03/06/2020,20,Gironès,17044,Cassà de la Selva,1,Dona,Sospitós,2
03/06/2020,03,Alt Penedès,08091,Gelida,1,Dona,Sospitós,1
03/06/2020,41,Vallès Oriental,08107,Lliçà d'Amunt,1,Dona,Sospitós,3
03/06/2020,19,Garrotxa,17114,Olot,0,Home,Sospitós,8
03/06/2020,32,Segarra,25110,Guissona,0,Home,Positiu per Test Ràpid,2
03/06/2020,31,Ripollès,17091,Llanars,1,Dona,Sospitós,1
03/06/2020,33,Segrià ,25120,Lleida,0,Home,Positiu per Test Ràpid,1
