Data defunció,Codi Comarca,Comarca,Codi Sexe,Sexe,Nombre defuncions
27/04/2020,33,Segrià,1,Dona,2
27/04/2020,36,Tarragonès,0,Home,1
27/04/2020,12,Baix Penedès,1,Dona,1
27/04/2020,14,Berguedà,1,Dona,1
27/04/2020,17,Garraf,0,Home,1
27/04/2020,41,Vallès Oriental,1,Dona,3
27/04/2020,12,Baix Penedès,0,Home,1
27/04/2020,16,Conca de Barberà,0,Home,1
27/04/2020,11,Baix Llobregat,1,Dona,8
27/04/2020,21,Maresme,1,Dona,5
26/04/2020,33,Segrià,0,Home,1
26/04/2020,40,Vallès Occidental,0,Home,5
26/04/2020,3,Alt Penedès,0,Home,1
26/04/2020,14,Berguedà,0,Home,1
26/04/2020,21,Maresme,1,Dona,3
26/04/2020,34,Selva,1,Dona,2
26/04/2020,33,Segrià,1,Dona,2
26/04/2020,12,Baix Penedès,0,Home,2
26/04/2020,19,Garrotxa,1,Dona,1
26/04/2020,13,Barcelonès,1,Dona,30
26/04/2020,20,Gironès,1,Dona,4
26/04/2020,2,Alt Empordà,0,Home,1
26/04/2020,21,Maresme,0,Home,3
26/04/2020,6,Anoia,1,Dona,2
26/04/2020,11,Baix Llobregat,1,Dona,5
26/04/2020,41,Vallès Oriental,0,Home,2
26/04/2020,11,Baix Llobregat,0,Home,5
26/04/2020,36,Tarragonès,0,Home,1
26/04/2020,34,Selva,0,Home,2
26/04/2020,9,Baix Ebre,0,Home,1
26/04/2020,40,Vallès Occidental,1,Dona,7
26/04/2020,7,Bages,0,Home,1
26/04/2020,3,Alt Penedès,1,Dona,1
26/04/2020,28,Pla de l'Estany,1,Dona,1
26/04/2020,7,Bages,1,Dona,3
26/04/2020,6,Anoia,0,Home,6
26/04/2020,41,Vallès Oriental,1,Dona,6
26/04/2020,2,Alt Empordà,1,Dona,1
26/04/2020,20,Gironès,0,Home,1
26/04/2020,13,Barcelonès,0,Home,18
26/04/2020,24,Osona,0,Home,1
25/04/2020,40,Vallès Occidental,0,Home,7
25/04/2020,24,Osona,0,Home,3
25/04/2020,21,Maresme,1,Dona,4
25/04/2020,12,Baix Penedès,0,Home,2
25/04/2020,10,Baix Empordà,0,Home,1
25/04/2020,2,Alt Empordà,1,Dona,1
25/04/2020,11,Baix Llobregat,1,Dona,14
25/04/2020,8,Baix Camp,0,Home,1
25/04/2020,14,Berguedà,0,Home,1
25/04/2020,41,Vallès Oriental,0,Home,4
25/04/2020,20,Gironès,0,Home,1
25/04/2020,17,Garraf,0,Home,2
25/04/2020,14,Berguedà,1,Dona,1
25/04/2020,40,Vallès Occidental,1,Dona,6
25/04/2020,13,Barcelonès,1,Dona,28
25/04/2020,10,Baix Empordà,1,Dona,1
25/04/2020,13,Barcelonès,0,Home,20
25/04/2020,42,Moianès,1,Dona,1
25/04/2020,12,Baix Penedès,1,Dona,2
25/04/2020,34,Selva,1,Dona,1
25/04/2020,6,Anoia,0,Home,2
25/04/2020,7,Bages,1,Dona,3
25/04/2020,21,Maresme,0,Home,4
25/04/2020,36,Tarragonès,0,Home,2
25/04/2020,11,Baix Llobregat,0,Home,4
25/04/2020,20,Gironès,1,Dona,3
25/04/2020,33,Segrià,1,Dona,1
25/04/2020,41,Vallès Oriental,1,Dona,4
24/04/2020,34,Selva,1,Dona,2
24/04/2020,13,Barcelonès,0,Home,25
24/04/2020,14,Berguedà,0,Home,1
24/04/2020,34,Selva,0,Home,1
24/04/2020,8,Baix Camp,1,Dona,1
24/04/2020,24,Osona,1,Dona,1
24/04/2020,17,Garraf,0,Home,1
24/04/2020,24,Osona,0,Home,3
24/04/2020,7,Bages,0,Home,2
24/04/2020,7,Bages,1,Dona,4
24/04/2020,33,Segrià,0,Home,2
24/04/2020,21,Maresme,1,Dona,6
24/04/2020,3,Alt Penedès,0,Home,2
24/04/2020,21,Maresme,0,Home,2
24/04/2020,36,Tarragonès,0,Home,2
24/04/2020,40,Vallès Occidental,0,Home,8
24/04/2020,33,Segrià,1,Dona,2
24/04/2020,20,Gironès,0,Home,1
24/04/2020,41,Vallès Oriental,0,Home,1
24/04/2020,6,Anoia,0,Home,5
24/04/2020,8,Baix Camp,0,Home,1
24/04/2020,17,Garraf,1,Dona,3
24/04/2020,36,Tarragonès,1,Dona,1
24/04/2020,11,Baix Llobregat,1,Dona,5
24/04/2020,6,Anoia,1,Dona,3
24/04/2020,40,Vallès Occidental,1,Dona,6
24/04/2020,19,Garrotxa,1,Dona,1
24/04/2020,11,Baix Llobregat,0,Home,5
24/04/2020,10,Baix Empordà,1,Dona,1
24/04/2020,28,Pla de l'Estany,0,Home,2
24/04/2020,20,Gironès,1,Dona,1
24/04/2020,16,Conca de Barberà,1,Dona,1
24/04/2020,13,Barcelonès,1,Dona,34
24/04/2020,9,Baix Ebre,0,Home,1
23/04/2020,17,Garraf,1,Dona,2
23/04/2020,13,Barcelonès,0,Home,14
23/04/2020,13,Barcelonès,1,Dona,22
23/04/2020,40,Vallès Occidental,1,Dona,6
23/04/2020,7,Bages,1,Dona,2
23/04/2020,3,Alt Penedès,1,Dona,2
23/04/2020,33,Segrià,0,Home,2
23/04/2020,17,Garraf,0,Home,2
23/04/2020,3,Alt Penedès,0,Home,2
23/04/2020,7,Bages,0,Home,1
23/04/2020,36,Tarragonès,1,Dona,3
23/04/2020,6,Anoia,1,Dona,1
23/04/2020,40,Vallès Occidental,0,Home,9
23/04/2020,20,Gironès,0,Home,1
23/04/2020,12,Baix Penedès,0,Home,2
23/04/2020,24,Osona,0,Home,1
23/04/2020,6,Anoia,0,Home,2
23/04/2020,11,Baix Llobregat,1,Dona,6
23/04/2020,24,Osona,1,Dona,2
23/04/2020,21,Maresme,1,Dona,8
23/04/2020,33,Segrià,1,Dona,2
23/04/2020,10,Baix Empordà,0,Home,2
23/04/2020,36,Tarragonès,0,Home,1
23/04/2020,21,Maresme,0,Home,7
23/04/2020,28,Pla de l'Estany,0,Home,1
23/04/2020,41,Vallès Oriental,0,Home,2
23/04/2020,41,Vallès Oriental,1,Dona,4
23/04/2020,11,Baix Llobregat,0,Home,9
22/04/2020,3,Alt Penedès,1,Dona,3
22/04/2020,13,Barcelonès,0,Home,20
22/04/2020,8,Baix Camp,1,Dona,1
22/04/2020,7,Bages,0,Home,4
22/04/2020,20,Gironès,1,Dona,1
22/04/2020,36,Tarragonès,1,Dona,2
22/04/2020,33,Segrià,1,Dona,4
22/04/2020,17,Garraf,1,Dona,1
22/04/2020,2,Alt Empordà,0,Home,1
22/04/2020,11,Baix Llobregat,1,Dona,12
22/04/2020,41,Vallès Oriental,1,Dona,3
22/04/2020,10,Baix Empordà,0,Home,1
22/04/2020,8,Baix Camp,0,Home,4
22/04/2020,36,Tarragonès,0,Home,1
22/04/2020,16,Conca de Barberà,1,Dona,1
22/04/2020,32,Segarra,0,Home,1
22/04/2020,19,Garrotxa,0,Home,1
22/04/2020,12,Baix Penedès,0,Home,1
22/04/2020,6,Anoia,0,Home,2
22/04/2020,21,Maresme,0,Home,3
22/04/2020,6,Anoia,1,Dona,2
22/04/2020,2,Alt Empordà,1,Dona,1
22/04/2020,28,Pla de l'Estany,0,Home,1
22/04/2020,24,Osona,1,Dona,2
22/04/2020,40,Vallès Occidental,1,Dona,10
22/04/2020,13,Barcelonès,1,Dona,31
22/04/2020,34,Selva,0,Home,1
22/04/2020,11,Baix Llobregat,0,Home,5
22/04/2020,20,Gironès,0,Home,2
22/04/2020,10,Baix Empordà,1,Dona,2
22/04/2020,1,Alt Camp,1,Dona,1
22/04/2020,40,Vallès Occidental,0,Home,4
22/04/2020,21,Maresme,1,Dona,8
22/04/2020,7,Bages,1,Dona,1
21/04/2020,36,Tarragonès,1,Dona,2
21/04/2020,11,Baix Llobregat,0,Home,14
21/04/2020,13,Barcelonès,0,Home,28
21/04/2020,21,Maresme,1,Dona,5
21/04/2020,40,Vallès Occidental,0,Home,6
21/04/2020,3,Alt Penedès,0,Home,4
21/04/2020,27,Pla d'Urgell,0,Home,1
21/04/2020,34,Selva,1,Dona,1
