"date","province","ccaa","health_area","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered"
"2020-08-25","Cáceres","Extremadura","Coria","3","","","","0","0","22","133","","204"
"2020-08-25","Badajoz","Extremadura","Llerena-Zafra","10","","","","2","0","6","137","","67"
"2020-08-26","Badajoz","Extremadura","Badajoz","10","","","","6","1","34","931","","760"
"2020-08-26","Cáceres","Extremadura","Cáceres","23","","","","10","1","271","1684","","2006"
"2020-08-26","Badajoz","Extremadura","Mérida","9","","","","3","0","32","360","","433"
"2020-08-26","Cáceres","Extremadura","Plasencia","8","","","","5","4","77","444","","628"
"2020-08-26","Badajoz","Extremadura","Don Benito","19","","","","13","1","24","567","","466"
"2020-08-26","Cáceres","Extremadura","Navalmoral","8","","","","1","0","60","418","","383"
"2020-08-26","Cáceres","Extremadura","Coria","2","","","","0","0","22","135","","204"
"2020-08-26","Badajoz","Extremadura","Llerena-Zafra","9","","","","2","0","6","146","","68"
"2020-08-27","Badajoz","Extremadura","Badajoz","12","","","","7","1","34","943","","768"
"2020-08-27","Cáceres","Extremadura","Cáceres","5","","","","11","1","271","1689","","2009"
"2020-08-27","Badajoz","Extremadura","Mérida","29","","","","4","0","32","389","","437"
"2020-08-27","Cáceres","Extremadura","Plasencia","6","","","","5","4","77","450","","628"
"2020-08-27","Badajoz","Extremadura","Don Benito","17","","","","12","1","24","584","","470"
"2020-08-27","Cáceres","Extremadura","Navalmoral","5","","","","1","0","60","423","","383"
"2020-08-27","Cáceres","Extremadura","Coria","0","","","","0","0","22","135","","209"
"2020-08-27","Badajoz","Extremadura","Llerena-Zafra","17","","","","2","0","6","163","","68"
"2020-08-28","Badajoz","Extremadura","Badajoz","36","","","","6","1","34","979","","778"
"2020-08-28","Cáceres","Extremadura","Cáceres","23","","","","11","1","271","1712","","2017"
"2020-08-28","Badajoz","Extremadura","Mérida","11","","","","4","0","32","400","","442"
"2020-08-28","Cáceres","Extremadura","Plasencia","7","","","","5","4","77","457","","628"
"2020-08-28","Badajoz","Extremadura","Don Benito","23","","","","10","1","24","607","","470"
"2020-08-28","Cáceres","Extremadura","Navalmoral","0","","","","0","0","60","423","","384"
"2020-08-28","Cáceres","Extremadura","Coria","2","","","","0","0","22","137","","212"
"2020-08-28","Badajoz","Extremadura","Llerena-Zafra","20","","","","3","0","6","183","","70"
"2020-08-29","Badajoz","Extremadura","Badajoz","23","","","","7","2","34","1002","","781"
"2020-08-29","Cáceres","Extremadura","Cáceres","6","","","","12","1","271","1718","","2017"
"2020-08-29","Badajoz","Extremadura","Mérida","5","","","","4","0","32","405","","442"
"2020-08-29","Cáceres","Extremadura","Plasencia","12","","","","5","4","77","469","","628"
"2020-08-29","Badajoz","Extremadura","Don Benito","26","","","","11","1","24","633","","483"
"2020-08-29","Cáceres","Extremadura","Navalmoral","4","","","","1","0","60","427","","384"
"2020-08-29","Cáceres","Extremadura","Coria","0","","","","0","0","22","137","","212"
"2020-08-29","Badajoz","Extremadura","Llerena-Zafra","30","","","","0","0","7","213","","75"
"2020-08-30","Badajoz","Extremadura","Badajoz","34","","","","9","2","34","1036","","781"
"2020-08-30","Cáceres","Extremadura","Cáceres","12","","","","13","2","271","1730","","2018"
"2020-08-30","Badajoz","Extremadura","Mérida","9","","","","5","0","32","414","","442"
"2020-08-30","Cáceres","Extremadura","Plasencia","13","","","","5","4","77","482","","631"
"2020-08-30","Badajoz","Extremadura","Don Benito","24","","","","13","1","24","657","","483"
"2020-08-30","Cáceres","Extremadura","Navalmoral","4","","","","1","0","60","431","","396"
"2020-08-30","Cáceres","Extremadura","Coria","2","","","","0","0","22","139","","212"
"2020-08-30","Badajoz","Extremadura","Llerena-Zafra","18","","","","1","0","7","231","","75"
