"region","fecha","cases_registered","PCR","TestAc","hospitalized","intensive_care","deceassed","date","recovered"
"Aragón","9/3/2020",30,30,NA,NA,3,4,2020-03-09,NA
"Asturias","9/3/2020",15,15,NA,11,1,0,2020-03-09,NA
"Baleares","9/3/2020",13,13,NA,NA,1,0,2020-03-09,NA
"Canarias","9/3/2020",25,25,NA,NA,1,0,2020-03-09,NA
"Cantabria","9/3/2020",12,12,NA,NA,0,0,2020-03-09,NA
"Castilla-La Mancha","9/3/2020",39,39,NA,31,3,0,2020-03-09,NA
"Castilla y León","9/3/2020",56,56,NA,NA,2,0,2020-03-09,NA
"Cataluña","9/3/2020",82,82,NA,31,7,2,2020-03-09,NA
"Ceuta","9/3/2020",0,0,NA,NA,0,0,2020-03-09,NA
"C. Valenciana","9/3/2020",50,50,NA,171,10,1,2020-03-09,NA
"Extremadura","9/3/2020",8,8,NA,NA,0,0,2020-03-09,NA
"Galicia","9/3/2020",22,22,NA,NA,2,0,2020-03-09,NA
"Madrid","9/3/2020",1508,1508,NA,NA,120,21,2020-03-09,NA
"Melilla","9/3/2020",0,0,NA,NA,0,0,2020-03-09,NA
"Murcia","9/3/2020",9,9,NA,NA,0,0,2020-03-09,NA
"Navarra","9/3/2020",12,12,NA,NA,2,0,2020-03-09,NA
"País Vasco","9/3/2020",195,195,NA,NA,5,6,2020-03-09,NA
"La Rioja","9/3/2020",155,155,NA,NA,1,1,2020-03-09,NA
"Andalucía","10/3/2020",90,90,NA,32,3,0,2020-03-10,NA
"Aragón","10/3/2020",38,38,NA,22,3,4,2020-03-10,NA
"Asturias","10/3/2020",32,32,NA,13,2,0,2020-03-10,NA
"Baleares","10/3/2020",16,16,NA,8,1,0,2020-03-10,NA
"Canarias","10/3/2020",37,37,NA,10,1,0,2020-03-10,NA
"Cantabria","10/3/2020",12,12,NA,0,0,0,2020-03-10,NA
"Castilla-La Mancha","10/3/2020",71,71,NA,46,5,0,2020-03-10,NA
"Castilla y León","10/3/2020",71,71,NA,24,5,0,2020-03-10,NA
"Cataluña","10/3/2020",123,123,NA,50,8,3,2020-03-10,NA
"Ceuta","10/3/2020",0,0,NA,0,0,0,2020-03-10,NA
"C. Valenciana","10/3/2020",65,65,NA,200,12,1,2020-03-10,NA
"Extremadura","10/3/2020",9,9,NA,1,1,1,2020-03-10,NA
"Galicia","10/3/2020",35,35,NA,7,2,0,2020-03-10,NA
"Madrid","10/3/2020",2213,2213,NA,571,184,31,2020-03-10,NA
"Melilla","10/3/2020",0,0,NA,0,0,0,2020-03-10,NA
"Murcia","10/3/2020",11,11,NA,5,0,0,2020-03-10,NA
"Navarra","10/3/2020",46,46,NA,10,3,0,2020-03-10,NA
"País Vasco","10/3/2020",225,225,NA,102,15,6,2020-03-10,NA
"La Rioja","10/3/2020",185,185,NA,13,1,2,2020-03-10,NA
"Andalucía","11/3/2020",115,115,NA,50,4,0,2020-03-11,NA
"Aragón","11/3/2020",45,45,NA,28,3,6,2020-03-11,NA
"Asturias","11/3/2020",37,37,NA,15,2,0,2020-03-11,NA
"Baleares","11/3/2020",22,22,NA,8,2,1,2020-03-11,NA
"Canarias","11/3/2020",51,51,NA,15,3,0,2020-03-11,NA
"Cantabria","11/3/2020",16,16,NA,3,0,0,2020-03-11,NA
"Castilla-La Mancha","11/3/2020",115,115,NA,72,9,1,2020-03-11,NA
"Castilla y León","11/3/2020",92,92,NA,25,7,0,2020-03-11,NA
"Cataluña","11/3/2020",202,202,NA,74,16,6,2020-03-11,NA
"Ceuta","11/3/2020",0,0,NA,0,0,0,2020-03-11,NA
"C. Valenciana","11/3/2020",76,76,NA,232,15,1,2020-03-11,NA
"Extremadura","11/3/2020",19,19,NA,3,1,1,2020-03-11,NA
"Galicia","11/3/2020",35,35,NA,7,2,0,2020-03-11,NA
"Madrid","11/3/2020",2943,2943,NA,868,238,56,2020-03-11,NA
"Melilla","11/3/2020",0,0,NA,0,0,0,2020-03-11,NA
"Murcia","11/3/2020",26,26,NA,5,1,0,2020-03-11,NA
"Navarra","11/3/2020",73,73,NA,17,3,0,2020-03-11,NA
"País Vasco","11/3/2020",346,346,NA,146,18,11,2020-03-11,NA
"La Rioja","11/3/2020",220,220,NA,21,1,2,2020-03-11,NA
"Andalucía","12/3/2020",219,219,NA,92,8,0,2020-03-12,NA
"Aragón","12/3/2020",64,64,NA,30,3,7,2020-03-12,NA
"Asturias","12/3/2020",40,40,NA,18,2,1,2020-03-12,NA
"Baleares","12/3/2020",28,28,NA,8,2,1,2020-03-12,NA
"Canarias","12/3/2020",70,70,NA,15,3,0,2020-03-12,NA
"Cantabria","12/3/2020",29,29,NA,3,0,0,2020-03-12,NA
"Castilla-La Mancha","12/3/2020",194,194,NA,128,10,5,2020-03-12,NA
"Castilla y León","12/3/2020",169,169,NA,25,8,1,2020-03-12,NA
"Cataluña","12/3/2020",349,349,NA,137,22,9,2020-03-12,NA
"Ceuta","12/3/2020",0,0,NA,0,0,0,2020-03-12,NA
"C. Valenciana","12/3/2020",94,94,NA,271,22,1,2020-03-12,NA
"Extremadura","12/3/2020",39,39,NA,3,1,1,2020-03-12,NA
"Galicia","12/3/2020",85,85,NA,15,6,0,2020-03-12,NA
"Madrid","12/3/2020",3732,3732,NA,1290,307,81,2020-03-12,NA
"Melilla","12/3/2020",2,2,NA,3,0,0,2020-03-12,NA
"Murcia","12/3/2020",35,35,NA,8,2,0,2020-03-12,NA
"Navarra","12/3/2020",130,130,NA,28,4,0,2020-03-12,NA
"País Vasco","12/3/2020",417,417,NA,179,20,14,2020-03-12,NA
"La Rioja","12/3/2020",259,259,NA,27,2,3,2020-03-12,NA
"Andalucía","13/3/2020",269,269,NA,92,8,2,2020-03-13,NA
"Aragón","13/3/2020",80,80,NA,42,5,7,2020-03-13,NA
"Asturias","13/3/2020",86,86,NA,24,2,2,2020-03-13,NA
"Baleares","13/3/2020",28,28,NA,8,2,1,2020-03-13,NA
"Canarias","13/3/2020",90,90,NA,15,6,1,2020-03-13,NA
"Cantabria","13/3/2020",31,31,NA,3,0,0,2020-03-13,NA
"Castilla-La Mancha","13/3/2020",289,289,NA,191,22,6,2020-03-13,NA
"Castilla y León","13/3/2020",223,223,NA,25,15,3,2020-03-13,NA
"Cataluña","13/3/2020",558,558,NA,200,29,13,2020-03-13,NA
"Ceuta","13/3/2020",0,0,NA,0,0,0,2020-03-13,NA
"C. Valenciana","13/3/2020",130,130,NA,307,29,4,2020-03-13,NA
"Extremadura","13/3/2020",66,66,NA,3,1,2,2020-03-13,NA
"Galicia","13/3/2020",115,115,NA,32,6,0,2020-03-13,NA
"Madrid","13/3/2020",4672,4672,NA,1699,370,86,2020-03-13,NA
"Melilla","13/3/2020",3,3,NA,3,0,0,2020-03-13,NA
"Murcia","13/3/2020",47,47,NA,8,2,0,2020-03-13,NA
"Navarra","13/3/2020",146,146,NA,28,4,0,2020-03-13,NA
"País Vasco","13/3/2020",521,521,NA,179,22,14,2020-03-13,NA
"La Rioja","13/3/2020",292,292,NA,38,2,3,2020-03-13,NA
"Andalucía","14/3/2020",437,437,NA,92,8,6,2020-03-14,NA
"Aragón","14/3/2020",121,121,NA,59,5,7,2020-03-14,NA
"Asturias","14/3/2020",123,123,NA,28,3,2,2020-03-14,NA
"Baleares","14/3/2020",42,42,NA,8,2,1,2020-03-14,NA
"Canarias","14/3/2020",109,109,NA,15,6,1,2020-03-14,NA
"Cantabria","14/3/2020",51,51,NA,3,0,0,2020-03-14,NA
"Castilla-La Mancha","14/3/2020",401,401,NA,247,56,10,2020-03-14,NA
"Castilla y León","14/3/2020",292,292,NA,45,22,6,2020-03-14,NA
"Cataluña","14/3/2020",742,742,NA,287,40,15,2020-03-14,NA
"Ceuta","14/3/2020",1,1,NA,0,0,0,2020-03-14,NA
"C. Valenciana","14/3/2020",409,409,NA,339,37,5,2020-03-14,NA
"Extremadura","14/3/2020",95,95,NA,7,1,2,2020-03-14,NA
"Galicia","14/3/2020",195,195,NA,32,6,2,2020-03-14,NA
"Madrid","14/3/2020",5576,5576,NA,2207,469,213,2020-03-14,NA
"Melilla","14/3/2020",8,8,NA,4,0,0,2020-03-14,NA
"Murcia","14/3/2020",71,71,NA,13,2,0,2020-03-14,NA
"Navarra","14/3/2020",183,183,NA,34,4,0,2020-03-14,NA
"País Vasco","14/3/2020",630,630,NA,262,29,23,2020-03-14,NA
"La Rioja","14/3/2020",300,300,NA,58,7,3,2020-03-14,NA
"Andalucía","15/3/2020",554,554,NA,197,11,7,2020-03-15,NA
"Aragón","15/3/2020",147,147,NA,64,7,11,2020-03-15,NA
"Asturias","15/3/2020",160,160,NA,39,3,2,2020-03-15,NA
"Baleares","15/3/2020",73,73,NA,21,4,1,2020-03-15,NA
"Canarias","15/3/2020",119,119,NA,40,9,1,2020-03-15,NA
"Cantabria","15/3/2020",58,58,NA,18,2,0,2020-03-15,NA
"Castilla-La Mancha","15/3/2020",567,567,NA,319,78,17,2020-03-15,NA
"Castilla y León","15/3/2020",334,334,NA,95,29,9,2020-03-15,NA
"Cataluña","15/3/2020",1017,1017,NA,375,52,20,2020-03-15,NA
"Ceuta","15/3/2020",1,1,NA,0,0,0,2020-03-15,NA
"C. Valenciana","15/3/2020",409,409,NA,390,47,5,2020-03-15,NA
"Extremadura","15/3/2020",111,111,NA,9,2,2,2020-03-15,NA
"Galicia","15/3/2020",245,245,NA,49,8,2,2020-03-15,NA
"Madrid","15/3/2020",6392,6392,NA,2747,566,213,2020-03-15,NA
"Melilla","15/3/2020",8,8,NA,4,0,0,2020-03-15,NA
"Murcia","15/3/2020",77,77,NA,13,2,0,2020-03-15,NA
"Navarra","15/3/2020",274,274,NA,58,5,1,2020-03-15,NA
"País Vasco","15/3/2020",630,630,NA,262,29,23,2020-03-15,NA
"La Rioja","15/3/2020",312,312,NA,64,13,4,2020-03-15,NA
"Andalucía","16/3/2020",683,683,NA,229,13,11,2020-03-16,NA
"Aragón","16/3/2020",207,207,NA,74,9,12,2020-03-16,NA
"Asturias","16/3/2020",224,224,NA,57,6,2,2020-03-16,NA
"Baleares","16/3/2020",92,92,NA,26,4,1,2020-03-16,NA
"Canarias","16/3/2020",148,148,NA,56,13,2,2020-03-16,NA
"Cantabria","16/3/2020",58,58,NA,18,2,0,2020-03-16,NA
"Castilla-La Mancha","16/3/2020",567,567,NA,402,95,17,2020-03-16,NA
"Castilla y León","16/3/2020",431,431,NA,95,36,12,2020-03-16,NA
"Cataluña","16/3/2020",1414,1414,NA,525,73,23,2020-03-16,NA
"Ceuta","16/3/2020",1,1,NA,0,0,0,2020-03-16,NA
"C. Valenciana","16/3/2020",541,541,NA,456,52,13,2020-03-16,NA
"Extremadura","16/3/2020",153,153,NA,13,5,3,2020-03-16,NA
"Galicia","16/3/2020",292,292,NA,49,12,3,2020-03-16,NA
"Madrid","16/3/2020",7653,7653,NA,3314,702,355,2020-03-16,NA
"Melilla","16/3/2020",17,17,NA,4,0,0,2020-03-16,NA
"Murcia","16/3/2020",97,97,NA,18,3,0,2020-03-16,NA
"Navarra","16/3/2020",313,313,NA,72,10,2,2020-03-16,NA
"País Vasco","16/3/2020",765,765,NA,309,33,36,2020-03-16,NA
"La Rioja","16/3/2020",355,355,NA,82,13,5,2020-03-16,NA
"Andalucía","17/3/2020",859,859,NA,319,21,19,2020-03-17,NA
"Aragón","17/3/2020",226,226,NA,81,9,13,2020-03-17,NA
"Asturias","17/3/2020",269,269,NA,78,9,2,2020-03-17,NA
"Baleares","17/3/2020",112,112,NA,29,4,1,2020-03-17,NA
"Canarias","17/3/2020",181,181,NA,73,17,3,2020-03-17,NA
"Cantabria","17/3/2020",68,68,NA,25,3,1,2020-03-17,NA
"Castilla-La Mancha","17/3/2020",675,675,NA,498,123,28,2020-03-17,NA
"Castilla y León","17/3/2020",668,668,NA,281,50,22,2020-03-17,NA
"Cataluña","17/3/2020",1866,1866,NA,679,101,33,2020-03-17,NA
"Ceuta","17/3/2020",1,1,NA,0,0,0,2020-03-17,NA
"C. Valenciana","17/3/2020",726,726,NA,530,65,22,2020-03-17,NA
"Extremadura","17/3/2020",194,194,NA,22,6,6,2020-03-17,NA
"Galicia","17/3/2020",341,341,NA,63,17,3,2020-03-17,NA
"Madrid","17/3/2020",9601,9601,NA,3934,850,390,2020-03-17,NA
"Melilla","17/3/2020",20,20,NA,4,0,0,2020-03-17,NA
"Murcia","17/3/2020",122,122,NA,22,4,0,2020-03-17,NA
"Navarra","17/3/2020",386,386,NA,93,10,3,2020-03-17,NA
"País Vasco","17/3/2020",973,973,NA,353,37,40,2020-03-17,NA
"La Rioja","17/3/2020",419,419,NA,99,13,5,2020-03-17,NA
"Andalucía","18/3/2020",1008,1008,NA,384,25,23,2020-03-18,NA
"Aragón","18/3/2020",281,281,NA,101,14,15,2020-03-18,NA
"Asturias","18/3/2020",310,310,NA,105,11,2,2020-03-18,NA
"Baleares","18/3/2020",169,169,NA,31,7,2,2020-03-18,NA
"Canarias","18/3/2020",220,220,NA,82,23,3,2020-03-18,NA
"Cantabria","18/3/2020",83,83,NA,40,4,1,2020-03-18,NA
"Castilla-La Mancha","18/3/2020",801,801,NA,633,161,42,2020-03-18,NA
"Castilla y León","18/3/2020",868,868,NA,362,63,29,2020-03-18,NA
"Cataluña","18/3/2020",2702,2702,NA,825,118,53,2020-03-18,NA
"Ceuta","18/3/2020",1,1,NA,0,0,0,2020-03-18,NA
"C. Valenciana","18/3/2020",921,921,NA,647,85,24,2020-03-18,NA
"Extremadura","18/3/2020",241,241,NA,33,9,8,2020-03-18,NA
"Galicia","18/3/2020",453,453,NA,100,24,4,2020-03-18,NA
"Madrid","18/3/2020",11356,11356,NA,4874,1011,498,2020-03-18,NA
"Melilla","18/3/2020",23,23,NA,4,0,0,2020-03-18,NA
"Murcia","18/3/2020",167,167,NA,36,6,0,2020-03-18,NA
"Navarra","18/3/2020",482,482,NA,132,11,4,2020-03-18,NA
"País Vasco","18/3/2020",1190,1190,NA,455,44,53,2020-03-18,NA
"La Rioja","18/3/2020",468,468,NA,121,15,5,2020-03-18,NA
"Andalucía","19/3/2020",1287,1287,NA,501,38,30,2020-03-19,NA
"Aragón","19/3/2020",360,360,NA,127,28,17,2020-03-19,NA
"Asturias","19/3/2020",429,429,NA,129,13,4,2020-03-19,NA
"Baleares","19/3/2020",203,203,NA,48,10,2,2020-03-19,NA
"Canarias","19/3/2020",287,287,NA,115,25,4,2020-03-19,NA
"Cantabria","19/3/2020",144,144,NA,61,7,1,2020-03-19,NA
"Castilla-La Mancha","19/3/2020",1044,1044,NA,751,180,42,2020-03-19,NA
"Castilla y León","19/3/2020",1147,1147,NA,476,75,43,2020-03-19,NA
"Cataluña","19/3/2020",3270,3270,NA,994,175,93,2020-03-19,NA
"Ceuta","19/3/2020",5,5,NA,0,0,0,2020-03-19,NA
"C. Valenciana","19/3/2020",1105,1105,NA,777,101,33,2020-03-19,NA
"Extremadura","19/3/2020",297,297,NA,50,12,10,2020-03-19,NA
"Galicia","19/3/2020",578,578,NA,138,34,5,2020-03-19,NA
"Madrid","19/3/2020",13399,13399,NA,6189,1196,628,2020-03-19,NA
"Melilla","19/3/2020",24,24,NA,5,1,0,2020-03-19,NA
"Murcia","19/3/2020",204,204,NA,47,11,0,2020-03-19,NA
"Navarra","19/3/2020",554,554,NA,172,19,5,2020-03-19,NA
"País Vasco","19/3/2020",1465,1465,NA,550,53,71,2020-03-19,NA
"La Rioja","19/3/2020",497,497,NA,122,15,7,2020-03-19,NA
"Andalucía","20/3/2020",1515,1515,NA,605,53,40,2020-03-20,NA
"Aragón","20/3/2020",424,424,NA,192,33,22,2020-03-20,NA
"Asturias","20/3/2020",524,524,NA,155,18,7,2020-03-20,NA
"Baleares","20/3/2020",246,246,NA,60,14,4,2020-03-20,NA
"Canarias","20/3/2020",348,348,NA,139,29,7,2020-03-20,NA
"Cantabria","20/3/2020",215,215,NA,92,9,2,2020-03-20,NA
"Castilla-La Mancha","20/3/2020",1423,1423,NA,998,208,84,2020-03-20,NA
"Castilla y León","20/3/2020",1466,1466,NA,629,96,55,2020-03-20,NA
"Cataluña","20/3/2020",4203,4203,NA,1681,271,143,2020-03-20,NA
"Ceuta","20/3/2020",5,5,NA,0,0,0,2020-03-20,NA
"C. Valenciana","20/3/2020",1363,1363,NA,947,129,50,2020-03-20,NA
"Extremadura","20/3/2020",354,354,NA,67,13,12,2020-03-20,NA
"Galicia","20/3/2020",739,739,NA,168,40,9,2020-03-20,NA
"Madrid","20/3/2020",15722,15722,NA,7535,1401,804,2020-03-20,NA
"Melilla","20/3/2020",25,25,NA,8,1,0,2020-03-20,NA
"Murcia","20/3/2020",240,240,NA,61,14,1,2020-03-20,NA
"Navarra","20/3/2020",664,664,NA,222,25,9,2020-03-20,NA
"País Vasco","20/3/2020",1725,1725,NA,654,71,85,2020-03-20,NA
"La Rioja","20/3/2020",564,564,NA,128,17,15,2020-03-20,NA
"Andalucía","21/3/2020",1725,1725,NA,724,55,47,2020-03-21,NA
"Aragón","21/3/2020",532,532,NA,241,45,24,2020-03-21,NA
"Asturias","21/3/2020",569,569,NA,180,22,12,2020-03-21,NA
"Baleares","21/3/2020",331,331,NA,79,14,4,2020-03-21,NA
"Canarias","21/3/2020",414,414,NA,150,32,9,2020-03-21,NA
"Cantabria","21/3/2020",282,282,NA,116,9,5,2020-03-21,NA
"Castilla-La Mancha","21/3/2020",1819,1819,NA,1126,249,112,2020-03-21,NA
"Castilla y León","21/3/2020",1744,1744,NA,798,111,74,2020-03-21,NA
"Cataluña","21/3/2020",5046,5046,NA,1917,290,182,2020-03-21,NA
"Ceuta","21/3/2020",5,5,NA,0,0,0,2020-03-21,NA
"C. Valenciana","21/3/2020",1604,1604,NA,1136,152,69,2020-03-21,NA
"Extremadura","21/3/2020",384,384,NA,97,24,14,2020-03-21,NA
"Galicia","21/3/2020",915,915,NA,227,50,12,2020-03-21,NA
"Madrid","21/3/2020",17397,17397,NA,9063,1532,1021,2020-03-21,NA
"Melilla","21/3/2020",25,25,NA,12,1,0,2020-03-21,NA
"Murcia","21/3/2020",296,296,NA,78,16,1,2020-03-21,NA
"Navarra","21/3/2020",794,794,NA,288,30,14,2020-03-21,NA
"País Vasco","21/3/2020",2097,2097,NA,988,81,97,2020-03-21,NA
"La Rioja","21/3/2020",654,654,NA,134,17,18,2020-03-21,NA
"Andalucía","22/3/2020",1961,1961,NA,865,77,58,2020-03-22,NA
"Aragón","22/3/2020",638,638,NA,298,52,32,2020-03-22,NA
"Asturias","22/3/2020",621,621,NA,210,25,22,2020-03-22,NA
"Baleares","22/3/2020",400,400,NA,87,27,10,2020-03-22,NA
"Canarias","22/3/2020",481,481,NA,172,32,11,2020-03-22,NA
"Cantabria","22/3/2020",347,347,NA,157,14,6,2020-03-22,NA
"Castilla-La Mancha","22/3/2020",2078,2078,NA,1410,266,145,2020-03-22,NA
"Castilla y León","22/3/2020",2055,2055,NA,977,130,102,2020-03-22,NA
"Cataluña","22/3/2020",5747,5747,NA,2158,308,199,2020-03-22,NA
"Ceuta","22/3/2020",6,6,NA,0,0,0,2020-03-22,NA
"C. Valenciana","22/3/2020",1901,1901,NA,1311,181,94,2020-03-22,NA
"Extremadura","22/3/2020",493,493,NA,105,33,18,2020-03-22,NA
"Galicia","22/3/2020",1208,1208,NA,270,62,18,2020-03-22,NA
"Madrid","22/3/2020",18900,18900,NA,10771,1664,1263,2020-03-22,NA
"Melilla","22/3/2020",28,28,NA,12,1,0,2020-03-22,NA
"Murcia","22/3/2020",345,345,NA,80,23,2,2020-03-22,NA
"Navarra","22/3/2020",886,886,NA,339,40,24,2020-03-22,NA
"País Vasco","22/3/2020",2421,2421,NA,1252,92,120,2020-03-22,NA
"La Rioja","22/3/2020",747,747,NA,166,22,22,2020-03-22,NA
"Andalucía","23/3/2020",2470,2470,NA,1132,102,87,2020-03-23,NA
"Aragón","23/3/2020",758,758,NA,384,66,37,2020-03-23,NA
"Asturias","23/3/2020",754,754,NA,251,29,26,2020-03-23,NA
"Baleares","23/3/2020",478,478,NA,127,35,10,2020-03-23,NA
"Canarias","23/3/2020",557,557,NA,207,36,16,2020-03-23,NA
"Cantabria","23/3/2020",425,425,NA,200,16,9,2020-03-23,NA
"Castilla-La Mancha","23/3/2020",2465,2465,NA,1751,306,216,2020-03-23,NA
"Castilla y León","23/3/2020",2460,2460,NA,1197,151,124,2020-03-23,NA
"Cataluña","23/3/2020",7864,7864,NA,3209,471,293,2020-03-23,NA
"Ceuta","23/3/2020",6,6,NA,0,0,0,2020-03-23,NA
"C. Valenciana","23/3/2020",2167,2167,NA,1562,222,115,2020-03-23,NA
"Extremadura","23/3/2020",636,636,NA,113,40,26,2020-03-23,NA
"Galicia","23/3/2020",1415,1415,NA,338,78,20,2020-03-23,NA
"Madrid","23/3/2020",21569,21569,NA,12053,1813,1535,2020-03-23,NA
"Melilla","23/3/2020",28,28,NA,12,1,0,2020-03-23,NA
"Murcia","23/3/2020",385,385,NA,99,26,3,2020-03-23,NA
"Navarra","23/3/2020",1014,1014,NA,405,45,31,2020-03-23,NA
"País Vasco","23/3/2020",2728,2728,NA,1425,106,133,2020-03-23,NA
"La Rioja","23/3/2020",802,802,NA,206,24,30,2020-03-23,NA
"Andalucía","24/3/2020",3008,3008,NA,1433,116,113,2020-03-24,NA
"Aragón","24/3/2020",907,907,NA,459,75,40,2020-03-24,NA
"Asturias","24/3/2020",812,812,NA,281,39,29,2020-03-24,NA
"Baleares","24/3/2020",562,562,NA,164,40,13,2020-03-24,NA
"Canarias","24/3/2020",657,657,NA,235,43,21,2020-03-24,NA
"Cantabria","24/3/2020",510,510,NA,241,18,14,2020-03-24,NA
"Castilla-La Mancha","24/3/2020",2780,2780,NA,1980,334,263,2020-03-24,NA
"Castilla y León","24/3/2020",2940,2940,NA,1457,179,165,2020-03-24,NA
"Cataluña","24/3/2020",9937,9937,NA,4349,713,385,2020-03-24,NA
"Ceuta","24/3/2020",9,9,NA,2,1,0,2020-03-24,NA
"C. Valenciana","24/3/2020",2616,2616,NA,1842,255,143,2020-03-24,NA
"Extremadura","24/3/2020",742,742,NA,217,48,39,2020-03-24,NA
"Galicia","24/3/2020",1653,1653,NA,412,100,27,2020-03-24,NA
"Madrid","24/3/2020",24475,24475,NA,13297,1962,1825,2020-03-24,NA
"Melilla","24/3/2020",38,38,NA,14,2,0,2020-03-24,NA
"Murcia","24/3/2020",477,477,NA,127,33,5,2020-03-24,NA
"Navarra","24/3/2020",1197,1197,NA,506,51,33,2020-03-24,NA
"País Vasco","24/3/2020",3271,3271,NA,1577,119,155,2020-03-24,NA
"La Rioja","24/3/2020",928,928,NA,254,33,37,2020-03-24,NA
"Andalucía","25/3/2020",3404,3404,NA,1626,134,134,2020-03-25,NA
"Aragón","25/3/2020",1116,1116,NA,562,93,48,2020-03-25,NA
"Asturias","25/3/2020",891,891,NA,322,48,29,2020-03-25,NA
"Baleares","25/3/2020",660,660,NA,205,43,17,2020-03-25,NA
"Canarias","25/3/2020",784,784,NA,279,45,24,2020-03-25,NA
"Cantabria","25/3/2020",671,671,NA,300,26,17,2020-03-25,NA
"Castilla-La Mancha","25/3/2020",3383,3383,NA,2266,351,316,2020-03-25,NA
"Castilla y León","25/3/2020",3488,3488,NA,1823,198,206,2020-03-25,NA
"Cataluña","25/3/2020",11592,11592,NA,5371,764,501,2020-03-25,NA
"Ceuta","25/3/2020",10,10,NA,2,2,0,2020-03-25,NA
"C. Valenciana","25/3/2020",3200,3200,NA,2097,289,167,2020-03-25,NA
"Extremadura","25/3/2020",969,969,NA,291,52,58,2020-03-25,NA
"Galicia","25/3/2020",1915,1915,NA,503,107,32,2020-03-25,NA
"Madrid","25/3/2020",27422,27422,NA,15024,2117,2090,2020-03-25,NA
"Melilla","25/3/2020",39,39,NA,16,2,1,2020-03-25,NA
"Murcia","25/3/2020",596,596,NA,172,36,8,2020-03-25,NA
"Navarra","25/3/2020",1411,1411,NA,649,54,49,2020-03-25,NA
"País Vasco","25/3/2020",3946,3946,NA,1907,137,180,2020-03-25,NA
"La Rioja","25/3/2020",995,995,NA,316,36,43,2020-03-25,NA
"Andalucía","26/3/2020",3790,3790,NA,1843,148,144,2020-03-26,NA
"Aragón","26/3/2020",1338,1338,NA,693,114,58,2020-03-26,NA
"Asturias","26/3/2020",960,960,NA,370,56,39,2020-03-26,NA
"Baleares","26/3/2020",755,755,NA,237,46,22,2020-03-26,NA
"Canarias","26/3/2020",878,878,NA,328,61,27,2020-03-26,NA
"Cantabria","26/3/2020",810,810,NA,355,29,21,2020-03-26,NA
"Castilla-La Mancha","26/3/2020",3934,3934,NA,2673,367,367,2020-03-26,NA
"Castilla y León","26/3/2020",4132,4132,NA,2214,215,252,2020-03-26,NA
"Cataluña","26/3/2020",12940,12940,NA,6714,972,685,2020-03-26,NA
"Ceuta","26/3/2020",17,17,NA,2,2,0,2020-03-26,NA
"C. Valenciana","26/3/2020",3532,3532,NA,2357,325,198,2020-03-26,NA
"Extremadura","26/3/2020",1231,1231,NA,344,54,69,2020-03-26,NA
"Galicia","26/3/2020",2322,2322,NA,557,122,43,2020-03-26,NA
"Madrid","26/3/2020",30796,30796,NA,17093,2272,2412,2020-03-26,NA
"Melilla","26/3/2020",42,42,NA,18,2,1,2020-03-26,NA
"Murcia","26/3/2020",714,714,NA,209,53,15,2020-03-26,NA
"Navarra","26/3/2020",1641,1641,NA,732,75,58,2020-03-26,NA
"País Vasco","26/3/2020",4601,4601,NA,2270,154,207,2020-03-26,NA
"La Rioja","26/3/2020",1236,1236,NA,388,43,55,2020-03-26,NA
"Andalucía","27/3/2020",4271,4271,NA,2106,172,175,2020-03-27,NA
"Aragón","27/3/2020",1592,1592,NA,835,124,93,2020-03-27,NA
"Asturias","27/3/2020",1037,1037,NA,427,59,44,2020-03-27,NA
"Baleares","27/3/2020",862,862,NA,283,59,26,2020-03-27,NA
"Canarias","27/3/2020",1025,1025,NA,377,68,36,2020-03-27,NA
"Cantabria","27/3/2020",937,937,NA,406,37,22,2020-03-27,NA
"Castilla-La Mancha","27/3/2020",4512,4512,NA,3106,383,448,2020-03-27,NA
"Castilla y León","27/3/2020",4791,4791,NA,2648,238,321,2020-03-27,NA
"Cataluña","27/3/2020",14263,14263,NA,7954,1036,827,2020-03-27,NA
"Ceuta","27/3/2020",17,17,NA,2,2,1,2020-03-27,NA
"C. Valenciana","27/3/2020",4034,4034,NA,2606,348,234,2020-03-27,NA
"Extremadura","27/3/2020",1394,1394,NA,406,58,88,2020-03-27,NA
"Galicia","27/3/2020",2772,2772,NA,906,141,47,2020-03-27,NA
"Madrid","27/3/2020",33162,33162,NA,19098,2369,2757,2020-03-27,NA
"Melilla","27/3/2020",45,45,NA,22,2,1,2020-03-27,NA
"Murcia","27/3/2020",802,802,NA,231,58,17,2020-03-27,NA
"Navarra","27/3/2020",1829,1829,NA,827,84,70,2020-03-27,NA
"País Vasco","27/3/2020",5136,5136,NA,2612,176,241,2020-03-27,NA
"La Rioja","27/3/2020",1436,1436,NA,458,43,65,2020-03-27,NA
"Andalucía","28/3/2020",4676,4676,NA,2294,201,207,2020-03-28,NA
"Aragón","28/3/2020",1858,1858,NA,835,145,104,2020-03-28,NA
"Asturias","28/3/2020",1143,1143,NA,452,63,47,2020-03-28,NA
"Baleares","28/3/2020",958,958,NA,344,71,29,2020-03-28,NA
"Canarias","28/3/2020",1125,1125,NA,425,78,39,2020-03-28,NA
"Cantabria","28/3/2020",1023,1023,NA,449,40,26,2020-03-28,NA
"Castilla-La Mancha","28/3/2020",5246,5246,NA,3430,393,539,2020-03-28,NA
"Castilla y León","28/3/2020",5414,5414,NA,3160,261,380,2020-03-28,NA
"Cataluña","28/3/2020",15025,15025,NA,8447,1080,904,2020-03-28,NA
