"region","fecha","cases_registered","PCR","TestAc","hospitalized","intensive_care","deceassed","date","recovered"
"Baleares","24/2/2020",1,1,NA,NA,NA,NA,2020-02-24,NA
"Canarias","24/2/2020",2,2,NA,NA,NA,NA,2020-02-24,NA
"Cantabria","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Castilla-La Mancha","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Castilla y León","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Cataluña","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Ceuta","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"C. Valenciana","24/2/2020",0,0,NA,49,2,NA,2020-02-24,NA
"Extremadura","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Galicia","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Madrid","24/2/2020",1,1,NA,NA,NA,NA,2020-02-24,NA
"Melilla","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Murcia","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Navarra","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"País Vasco","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"La Rioja","24/2/2020",0,0,NA,NA,NA,NA,2020-02-24,NA
"Andalucía","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Aragón","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Asturias","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Baleares","25/2/2020",1,1,NA,NA,NA,NA,2020-02-25,NA
"Canarias","25/2/2020",5,5,NA,NA,NA,NA,2020-02-25,NA
"Cantabria","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Castilla-La Mancha","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Castilla y León","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Cataluña","25/2/2020",1,1,NA,NA,NA,NA,2020-02-25,NA
"Ceuta","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"C. Valenciana","25/2/2020",1,1,NA,58,2,NA,2020-02-25,NA
"Extremadura","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Galicia","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Madrid","25/2/2020",2,2,NA,NA,NA,NA,2020-02-25,NA
"Melilla","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Murcia","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Navarra","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"País Vasco","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"La Rioja","25/2/2020",0,0,NA,NA,NA,NA,2020-02-25,NA
"Andalucía","26/2/2020",1,1,NA,NA,NA,NA,2020-02-26,NA
"Aragón","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Asturias","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Baleares","26/2/2020",1,1,NA,NA,NA,NA,2020-02-26,NA
"Canarias","26/2/2020",6,6,NA,NA,NA,NA,2020-02-26,NA
"Cantabria","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Castilla-La Mancha","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Castilla y León","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Cataluña","26/2/2020",2,2,NA,NA,NA,NA,2020-02-26,NA
"Ceuta","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"C. Valenciana","26/2/2020",2,2,NA,63,3,NA,2020-02-26,NA
"Extremadura","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Galicia","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Madrid","26/2/2020",6,6,NA,NA,NA,NA,2020-02-26,NA
"Melilla","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Murcia","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Navarra","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"País Vasco","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"La Rioja","26/2/2020",0,0,NA,NA,NA,NA,2020-02-26,NA
"Andalucía","27/2/2020",6,6,NA,NA,NA,NA,2020-02-27,NA
"Aragón","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Asturias","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Baleares","27/2/2020",1,1,NA,NA,NA,NA,2020-02-27,NA
"Canarias","27/2/2020",6,6,NA,NA,NA,NA,2020-02-27,NA
"Cantabria","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Castilla-La Mancha","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Castilla y León","27/2/2020",2,2,NA,NA,NA,NA,2020-02-27,NA
"Cataluña","27/2/2020",3,3,NA,NA,NA,NA,2020-02-27,NA
"Ceuta","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"C. Valenciana","27/2/2020",8,8,NA,73,3,NA,2020-02-27,NA
"Extremadura","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Galicia","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Madrid","27/2/2020",10,10,NA,NA,NA,NA,2020-02-27,NA
"Melilla","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Murcia","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Navarra","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"País Vasco","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"La Rioja","27/2/2020",0,0,NA,NA,NA,NA,2020-02-27,NA
"Andalucía","28/2/2020",8,8,NA,NA,NA,NA,2020-02-28,NA
"Aragón","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Asturias","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Baleares","28/2/2020",2,2,NA,NA,NA,NA,2020-02-28,NA
"Canarias","28/2/2020",6,6,NA,NA,NA,NA,2020-02-28,NA
"Cantabria","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Castilla-La Mancha","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Castilla y León","28/2/2020",2,2,NA,NA,NA,NA,2020-02-28,NA
"Cataluña","28/2/2020",5,5,NA,NA,NA,NA,2020-02-28,NA
"Ceuta","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"C. Valenciana","28/2/2020",10,10,NA,78,3,NA,2020-02-28,NA
"Extremadura","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Galicia","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Madrid","28/2/2020",20,20,NA,NA,NA,NA,2020-02-28,NA
"Melilla","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Murcia","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Navarra","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"País Vasco","28/2/2020",2,2,NA,NA,NA,NA,2020-02-28,NA
"La Rioja","28/2/2020",0,0,NA,NA,NA,NA,2020-02-28,NA
"Andalucía","29/2/2020",12,12,NA,NA,NA,NA,2020-02-29,NA
"Aragón","29/2/2020",0,0,NA,NA,NA,NA,2020-02-29,NA
"Asturias","29/2/2020",1,1,NA,0,1,0,2020-02-29,NA
"Baleares","29/2/2020",2,2,NA,NA,NA,NA,2020-02-29,NA
"Canarias","29/2/2020",7,7,NA,NA,NA,NA,2020-02-29,NA
"Cantabria","29/2/2020",1,1,NA,NA,NA,NA,2020-02-29,NA
"Castilla-La Mancha","29/2/2020",1,1,NA,NA,NA,NA,2020-02-29,NA
"Castilla y León","29/2/2020",3,3,NA,NA,NA,NA,2020-02-29,NA
"Cataluña","29/2/2020",6,6,NA,NA,NA,NA,2020-02-29,NA
"Ceuta","29/2/2020",0,0,NA,NA,NA,NA,2020-02-29,NA
"C. Valenciana","29/2/2020",15,15,NA,85,3,NA,2020-02-29,NA
"Extremadura","29/2/2020",4,4,NA,NA,NA,NA,2020-02-29,NA
"Galicia","29/2/2020",0,0,NA,NA,NA,NA,2020-02-29,NA
"Madrid","29/2/2020",27,27,NA,NA,NA,NA,2020-02-29,NA
"Melilla","29/2/2020",0,0,NA,NA,NA,NA,2020-02-29,NA
"Murcia","29/2/2020",0,0,NA,NA,NA,NA,2020-02-29,NA
