"date","provincia_code","by_day","cases_accumulated","province"
2020-03-15,"43",3,34,"Tarragona"
2020-03-16,"43",13,47,"Tarragona"
2020-03-17,"43",26,73,"Tarragona"
2020-03-18,"43",26,99,"Tarragona"
2020-03-19,"43",34,133,"Tarragona"
2020-03-20,"43",28,161,"Tarragona"
2020-03-21,"43",23,184,"Tarragona"
2020-03-22,"43",29,213,"Tarragona"
2020-03-23,"43",52,265,"Tarragona"
2020-03-24,"43",66,331,"Tarragona"
2020-03-25,"43",40,371,"Tarragona"
2020-03-26,"43",56,427,"Tarragona"
2020-03-27,"43",70,497,"Tarragona"
2020-03-28,"43",57,554,"Tarragona"
2020-03-29,"43",38,592,"Tarragona"
2020-03-30,"43",87,679,"Tarragona"
2020-03-31,"43",82,761,"Tarragona"
2020-04-01,"43",46,807,"Tarragona"
2020-04-02,"43",76,883,"Tarragona"
2020-04-03,"43",130,1013,"Tarragona"
2020-04-04,"43",78,1091,"Tarragona"
2020-04-05,"43",84,1175,"Tarragona"
2020-04-06,"43",62,1237,"Tarragona"
2020-04-07,"43",39,1276,"Tarragona"
2020-04-08,"43",60,1336,"Tarragona"
2020-04-09,"43",23,1359,"Tarragona"
2020-04-10,"43",8,1367,"Tarragona"
