COD17ZON,OSI_NOM_eu,OSI_NOM_es,Cod_bopv1,Cod_osi,ZON_Cod,ZONA_Nom,ZONA_Nom1
311005,Donostialdea,Donostialdea,3.5.05,11,3505,BIDEBIETA,Bidebieta
311006,Donostialdea,Donostialdea,3.5.06,11,3506,EGIA,Egia
311008,Donostialdea,Donostialdea,3.5.07,11,3507,GROS,Gros
311010,Donostialdea,Donostialdea,3.5.09,11,3509,INTXAURRONDO,Intxaurrondo
311011,Donostialdea,Donostialdea,3.5.11,11,3511,LASARTE - USURBIL,Lasarte - Usurbil
311013,Donostialdea,Donostialdea,3.5.13,11,3513,LOIOLA,Loiola
311015,Donostialdea,Donostialdea,3.5.15,11,3515,ONDARRETA,Ondarreta
311016,Donostialdea,Donostialdea,3.5.16,11,3516,PARTE VIEJA,Parte Vieja
306001,Barrualde - Galdakao,Barrualde - Galdakao,2.5.01,6,2501,ABADIÑO-ELORRIO-BERRIZ,Abadiño-Elorrio-Berriz
302001,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.01,2,2101,ABANTO-MUSKIZ,Abanto-Muskiz
306003,Barrualde - Galdakao,Barrualde - Galdakao,2.5.03,6,2503,AMOREBIETA,Amorebieta
306014,Barrualde - Galdakao,Barrualde - Galdakao,2.5.14,6,2514,LEKEITIO,Lekeitio
306004,Barrualde - Galdakao,Barrualde - Galdakao,2.5.04,6,2504,ARRATIA,Arratia
306013,Barrualde - Galdakao,Barrualde - Galdakao,2.5.13,6,2513,GERNIKALDEA,Gernikaldea
302002,Ezkerraldea - Enkarterri - Cruces,Ezkerraldea - Enkarterri - Cruces,2.1.02,2,2102,BALMASEDA,Balmaseda
306005,Barrualde - Galdakao,Barrualde - Galdakao,2.5.05,6,2505,ARRIGORRIAGA,Arrigorriaga
305008,Uribe,Uribe,2.4.08,5,2408,MUNGIA,Mungia
304012,Bilbao - Basurto,Bilbo - Basurtu,2.3.11,4,2311,LA PEÑA,La Peña
303001,Barakaldo - Sestao,Barakaldo - Sestao,2.2.02,3,2202,LA PAZ,La Paz
303002,Barakaldo - Sestao,Barakaldo - Sestao,2.2.03,3,2203,LUTXANA,Lutxana
303003,Barakaldo - Sestao,Barakaldo - Sestao,2.2.05,3,2205,RONTEGI,Rontegi
303004,Barakaldo - Sestao,Barakaldo - Sestao,2.2.06,3,2206,SAN VICENTE,San Vicente
303007,Barakaldo - Sestao,Barakaldo - Sestao,2.2.07,3,2207,URBAN,Desierto / Urban
303008,Barakaldo - Sestao,Barakaldo - Sestao,2.2.08,3,2208,ZABALLA,Zaballa C.S.
303009,Barakaldo - Sestao,Barakaldo - Sestao,2.2.09,3,2209,ZUAZO,Zuazo
