"name","date","value","daily_cases_avg7","OSI_NOM_eu"
"Abadiño-Elorrio-Berriz",2020-08-04,1,1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-27,0,1.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-09,6,3.6,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-21,3,5.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-17,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-03,1,1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-20,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-18,3,1.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-20,13,5.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-15,4,1.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-06,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-11,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-18,1,NA,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-10,0,0.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-29,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-13,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-01,9,4.7,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-21,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-02,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-24,0,0.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-27,1,5.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-02,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-11,3,0.6,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-23,0,0.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-16,1,0.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-03,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-17,3,0.9,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-04,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-20,3,1.7,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-24,15,6.6,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-26,0,0.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-17,4,2.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-25,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-12,0,0.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-16,0,NA,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-31,2,4.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-09,0,0.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-13,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-21,0,0.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-23,1,5,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-10,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-22,5,5.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-08,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-09,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-25,6,7.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-13,0,0.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-06,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-15,2,0.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-02,6,4.9,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-30,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-04-13,1,NA,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-18,2,2.3,"Barrualde - Galdakao"
"ABALTZISKETA",2020-05-27,0,NA,"Otros"
"ABALTZISKETA",2020-04-13,0,NA,"Otros"
"ABALTZISKETA",2020-05-28,0,NA,"Otros"
"ABALTZISKETA",2020-05-14,0,NA,"Otros"
"ABALTZISKETA",2020-05-29,0,NA,"Otros"
"ABALTZISKETA",2020-05-15,0,NA,"Otros"
"ABALTZISKETA",2020-05-30,0,NA,"Otros"
"ABALTZISKETA",2020-05-16,0,NA,"Otros"
"ABALTZISKETA",2020-05-31,0,NA,"Otros"
"ABALTZISKETA",2020-05-17,0,NA,"Otros"
"ABALTZISKETA",2020-06-01,0,NA,"Otros"
"ABALTZISKETA",2020-05-18,0,NA,"Otros"
"ABALTZISKETA",2020-06-02,0,NA,"Otros"
"ABALTZISKETA",2020-05-19,0,NA,"Otros"
"ABALTZISKETA",2020-06-03,0,NA,"Otros"
"ABALTZISKETA",2020-05-20,0,NA,"Otros"
"ABALTZISKETA",2020-06-04,0,NA,"Otros"
"ABALTZISKETA",2020-05-21,0,NA,"Otros"
"ABALTZISKETA",2020-06-05,0,NA,"Otros"
"ABALTZISKETA",2020-05-22,0,NA,"Otros"
"ABALTZISKETA",2020-06-06,0,NA,"Otros"
"ABALTZISKETA",2020-05-23,0,NA,"Otros"
"ABALTZISKETA",2020-06-07,0,NA,"Otros"
"ABALTZISKETA",2020-05-24,0,NA,"Otros"
"ABALTZISKETA",2020-06-08,0,NA,"Otros"
"ABALTZISKETA",2020-05-25,0,NA,"Otros"
"ABALTZISKETA",2020-06-09,0,NA,"Otros"
"ABALTZISKETA",2020-05-26,0,NA,"Otros"
"ABALTZISKETA",2020-06-10,0,NA,"Otros"
"ABALTZISKETA",2020-08-23,0,NA,"Otros"
"ABALTZISKETA",2020-07-25,0,NA,"Otros"
"ABALTZISKETA",2020-06-26,0,NA,"Otros"
"ABALTZISKETA",2020-09-07,0,0.1,"Otros"
"ABALTZISKETA",2020-08-09,0,NA,"Otros"
"ABALTZISKETA",2020-07-11,0,NA,"Otros"
"ABALTZISKETA",2020-06-11,0,NA,"Otros"
"ABALTZISKETA",2020-08-24,0,NA,"Otros"
"ABALTZISKETA",2020-07-26,0,NA,"Otros"
"ABALTZISKETA",2020-06-27,0,NA,"Otros"
"ABALTZISKETA",2020-09-08,1,0.3,"Otros"
"ABALTZISKETA",2020-08-10,0,NA,"Otros"
"ABALTZISKETA",2020-07-12,0,NA,"Otros"
"ABALTZISKETA",2020-06-12,0,NA,"Otros"
"ABALTZISKETA",2020-08-25,0,NA,"Otros"
"ABALTZISKETA",2020-07-27,0,NA,"Otros"
"ABALTZISKETA",2020-06-28,0,NA,"Otros"
