"code","municipio","positivo","poblacion","ia","fallecidos","fatalidad","date","weekly_deaths","weekly_cases","ia7","ia14","provin_code","province"
"20017","AZKOITIA",23,11989,191.8,1,4.3,2020-07-27,0,0,0,0,"20","Bizkaia"
"20018","AZPEITIA",21,15055,139.5,1,4.8,2020-07-27,0,0,0,6.69999999999999,"20","Bizkaia"
"48012","BAKIO",14,2639,530.5,1,7.1,2020-07-27,0,1,37.9,37.9,"48","Gipuzkoa"
"48090","BALMASEDA",138,7595,1817,18,13,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"01011","BAÑOS DE EBRO/MAÑUETA",4,323,1238.4,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"48013","BARAKALDO",1308,98497,1328,90,6.9,2020-07-27,0,58,58.9000000000001,77.2,"48","Gipuzkoa"
"48014","BARRIKA",10,1528,654.5,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"01013","BARRUNDIA",13,945,1375.7,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"48015","BASAURI",584,40711,1434.5,75,12.8,2020-07-27,0,14,34.4000000000001,68.8,"48","Gipuzkoa"
"20019","BEASAIN",64,13969,458.2,6,9.4,2020-07-27,0,2,14.4,35.8,"20","Bizkaia"
"48092","BEDIA",3,1054,284.6,1,33.3,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20021","BELAUNTZA",2,258,775.2,0,0,2020-07-27,0,0,0,0,"20","Bizkaia"
"48016","BERANGO",82,7230,1134.2,0,0,2020-07-27,0,10,138.3,276.7,"48","Gipuzkoa"
"01014","BERANTEVILLA",4,488,819.7,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"20022","BERASTEGI",3,1053,284.9,0,0,2020-07-27,0,0,0,0,"20","Bizkaia"
"20074","BERGARA",88,15004,586.5,3,3.4,2020-07-27,0,4,26.6,140,"20","Bizkaia"
"48017","BERMEO",176,16880,1042.7,16,9.1,2020-07-27,0,7,41.5,71.1,"48","Gipuzkoa"
"01016","BERNEDO",8,517,1547.4,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"48018","BERRIATUA",7,1251,559.6,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48019","BERRIZ",10,4701,212.7,1,10,2020-07-27,0,0,0,21.3,"48","Gipuzkoa"
"20024","BIDANIA-GOIATZ",3,557,538.6,0,0,2020-07-27,0,0,0,0,"20","Bizkaia"
"48020","BILBAO",4770,343430,1388.9,365,7.7,2020-07-27,1,208,60.5,91.4000000000001,"48","Gipuzkoa"
"20075","VILLABONA",38,5906,643.4,2,5.3,2020-07-27,0,0,0,16.9,"20","Bizkaia"
"48021","BUSTURIA",45,1607,2800.2,6,13.3,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"01017","CAMPEZO/KANPEZU",20,1066,1876.2,3,15,2020-07-27,0,0,0,0,"01","Araba/Álava"
"20029","DEBA",30,5445,551,1,3.3,2020-07-27,0,10,183.7,275.5,"20","Bizkaia"
"48901","DERIO",63,6472,973.4,0,0,2020-07-27,0,3,46.3,61.8,"48","Gipuzkoa"
"48026","DIMA",4,1431,279.5,1,25,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20069","DONOSTIA / SAN SEBASTIAN",951,181652,523.5,74,7.8,2020-07-27,0,35,19.2,40.7,"20","Bizkaia"
"48027","DURANGO",258,29436,876.5,16,6.2,2020-07-27,0,8,27.2,40.8,"48","Gipuzkoa"
"20030","EIBAR",388,27246,1424.1,24,6.2,2020-07-27,0,90,330.4,605.6,"20","Bizkaia"
"48031","ELANTXOBE",5,362,1381.2,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"01021","ELBURGO/BURGELU",8,627,1275.9,1,12.5,2020-07-27,0,0,0,0,"01","Araba/Álava"
"01022","ELCIEGO",11,1038,1059.7,1,9.1,2020-07-27,0,0,0,0,"01","Araba/Álava"
"20033","ELGETA",11,1139,965.8,1,9.1,2020-07-27,0,0,0,263.4,"20","Bizkaia"
"20032","ELGOIBAR",73,11585,630.1,2,2.7,2020-07-27,0,9,77.7,189.9,"20","Bizkaia"
"48032","ELORRIO",34,7441,456.9,1,2.9,2020-07-27,0,1,13.4,13.4,"48","Gipuzkoa"
"01023","ELVILLAR/BILAR",4,355,1126.8,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"48902","ERANDIO",312,24297,1284.1,21,6.7,2020-07-27,0,3,12.3,28.8,"48","Gipuzkoa"
"48033","EREÑO",1,264,378.8,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48034","ERMUA",372,16039,2319.3,21,5.6,2020-07-27,0,115,717,1222,"48","Gipuzkoa"
"20067","ERRENTERIA",152,40141,378.7,7,4.6,2020-07-27,0,16,39.9,49.9,"20","Bizkaia"
"01046","ERRIBERAGOITIA/RIBERA ALTA",13,836,1555,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"48079","ERRIGOITI",2,484,413.2,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20034","ESKORIATZA",23,4065,565.8,2,8.7,2020-07-27,1,0,0,49.1999999999999,"20","Bizkaia"
"48029","ETXEBARRI",119,11338,1049.6,6,5,2020-07-27,0,4,35.3,44.0999999999999,"48","Gipuzkoa"
"48030","ETXEBARRIA",4,751,532.6,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20035","EZKIO-ITSASO",2,644,310.6,0,0,2020-07-27,0,0,0,155.3,"20","Bizkaia"
"48906","FORUA",6,916,655,0,0,2020-07-27,0,1,109.1,109.1,"48","Gipuzkoa"
"48035","FRUIZ",2,543,368.3,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48036","GALDAKAO",359,29389,1221.5,32,8.9,2020-07-27,0,8,27.2,27.2,"48","Gipuzkoa"
"48037","GALDAMES",8,836,956.9,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48038","GAMIZ-FIKA",7,1374,509.5,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48040","GATIKA",8,1648,485.4,0,0,2020-07-27,0,0,0,60.6,"48","Gipuzkoa"
"48041","GAUTEGIZ ARTEAGA",4,854,468.4,1,25,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48046","GERNIKA-LUMO",111,16725,663.7,2,1.8,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20039","GETARIA",21,2846,737.9,3,14.3,2020-07-27,0,3,105.4,351.4,"20","Bizkaia"
"48044","GETXO",699,77088,906.8,41,5.9,2020-07-27,0,13,16.9,40.3,"48","Gipuzkoa"
"48047","GIZABURUAGA",1,210,476.2,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48042","GORDEXOLA",28,1724,1624.1,1,3.6,2020-07-27,0,1,58,58,"48","Gipuzkoa"
"48043","GORLIZ",36,5825,618,2,5.6,2020-07-27,0,0,0,17.1,"48","Gipuzkoa"
"48045","GÜEÑES",78,6564,1188.3,4,5.1,2020-07-27,0,2,30.5,60.8999999999999,"48","Gipuzkoa"
"20040","HERNANI",81,20013,404.7,3,3.7,2020-07-27,0,7,34.9,54.9,"20","Bizkaia"
"20041","HERNIALDE",2,305,655.7,0,0,2020-07-27,0,0,0,0,"20","Bizkaia"
"20036","HONDARRIBIA",55,16937,324.7,1,1.8,2020-07-27,0,0,0,11.8,"20","Bizkaia"
"20042","IBARRA",35,4258,822,1,2.9,2020-07-27,0,0,0,94,"20","Bizkaia"
"48048","IBARRANGELU",5,625,800,0,0,2020-07-27,0,0,0,160,"48","Gipuzkoa"
"20043","IDIAZABAL",8,2388,335,0,0,2020-07-27,0,0,0,83.7,"20","Bizkaia"
"48094","IGORRE",21,4163,504.4,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20045","IRUN",276,59899,460.8,15,5.4,2020-07-27,0,5,8.40000000000003,18.4,"20","Bizkaia"
"01901","IRUÑA OKA/IRUÑA DE OCA",33,3514,939.1,0,0,2020-07-27,0,0,0,56.9,"01","Araba/Álava"
"20046","IRURA",20,1811,1104.4,4,20,2020-07-27,0,0,0,0,"20","Bizkaia"
"01027","IRURAIZ-GAUNA",8,531,1506.6,1,12.5,2020-07-27,0,0,0,0,"01","Araba/Álava"
"48049","ISPASTER",1,741,135,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20047","ITSASONDO",7,718,974.9,0,0,2020-07-27,0,0,0,139.2,"20","Bizkaia"
"48910","IURRETA",21,3689,569.3,3,14.3,2020-07-27,0,4,108.5,108.5,"48","Gipuzkoa"
"48022","KARRANTZA HARANA/CARRANZA",24,2806,855.3,1,4.2,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"48907","KORTEZUBI",4,437,915.3,2,50,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"01028","LABASTIDA/BASTIDA",41,1492,2748,3,7.3,2020-07-27,0,0,0,0,"01","Araba/Álava"
"01031","LAGUARDIA",4,1549,258.2,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"01032","LANCIEGO/LANTZIEGO",2,724,276.2,0,0,2020-07-27,0,0,0,0,"01","Araba/Álava"
"01902","LANTARON",9,942,955.4,0,0,2020-07-27,0,1,106.1,106.1,"01","Araba/Álava"
"01033","LAPUEBLA DE LABARCA",6,882,680.3,1,16.7,2020-07-27,0,0,0,0,"01","Araba/Álava"
"48052","LARRABETZU",7,2053,341,0,0,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20902","LASARTE-ORIA",57,18825,302.8,3,5.3,2020-07-27,0,1,5.30000000000001,5.30000000000001,"20","Bizkaia"
"01036","LAUDIO/LLODIO",182,18345,992.1,9,4.9,2020-07-27,0,6,32.7,49.1,"01","Araba/Álava"
"48053","LAUKIZ",10,1165,858.4,1,10,2020-07-27,0,0,0,0,"48","Gipuzkoa"
"20049","LAZKAO",21,5549,378.4,0,0,2020-07-27,0,2,36,36,"20","Bizkaia"
"20050","LEABURU",1,363,275.5,0,0,2020-07-27,0,0,0,0,"20","Bizkaia"
"20051","LEGAZPI",32,8430,379.6,1,3.1,2020-07-27,0,0,0,35.6,"20","Bizkaia"
