"name","date","value","daily_cases_avg7","OSI_NOM_eu"
"Abadiño-Elorrio-Berriz",2020-06-20,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-08,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-25,6,7.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-16,5,3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-06,3,3.9,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-03,2,5,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-22,5,5.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-02,6,4.9,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-16,1,0.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-23,1,0.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-12,4,3.9,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-05-23,0,0.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-13,0,0.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-19,0,1.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-21,2,2,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-22,1,1.9,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-07,4,4.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-14,2,0.7,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-11,3,0.6,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-07-18,3,1.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-04-13,1,NA,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-15,3,3.1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-06-19,0,0,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-22,4,4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-03,1,1,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-17,4,2.4,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-08-18,2,2.3,"Barrualde - Galdakao"
"Abadiño-Elorrio-Berriz",2020-09-05,1,4,"Barrualde - Galdakao"
