"CCAA","cod_ine","value","date","poblacion","per_cienmil"
"La Rioja",17,0,2020-03-06,316798,0
"Madrid",13,253,2020-03-16,6663394,3.8
"Madrid",13,2,2020-03-04,6663394,0.03
"Madrid",13,77,2020-03-10,6663394,1.16
"Madrid",13,135,2020-03-12,6663394,2.03
"Madrid",13,53,2020-03-09,6663394,0.8
"Madrid",13,2,2020-03-06,6663394,0.03
"Madrid",13,180,2020-03-13,6663394,2.7
"Madrid",13,2,2020-03-05,6663394,0.03
"Madrid",13,102,2020-03-11,6663394,1.53
"Melilla",19,0,2020-03-16,86487,0
"Melilla",19,0,2020-03-13,86487,0
"Melilla",19,0,2020-03-06,86487,0
"Melilla",19,0,2020-03-12,86487,0
"Melilla",19,0,2020-03-05,86487,0
"Melilla",19,0,2020-03-04,86487,0
"Melilla",19,0,2020-03-11,86487,0
"Melilla",19,0,2020-03-10,86487,0
"Melilla",19,0,2020-03-09,86487,0
"Murcia",14,1,2020-03-12,1493898,0.07
"Murcia",14,1,2020-03-13,1493898,0.07
"Murcia",14,0,2020-03-04,1493898,0
"Murcia",14,0,2020-03-10,1493898,0
"Murcia",14,2,2020-03-16,1493898,0.13
"Murcia",14,0,2020-03-11,1493898,0
"Murcia",14,0,2020-03-09,1493898,0
"Murcia",14,0,2020-03-06,1493898,0
"Murcia",14,0,2020-03-05,1493898,0
"Navarra",15,2,2020-03-10,654214,0.31
"Navarra",15,3,2020-03-11,654214,0.46
"Navarra",15,4,2020-03-13,654214,0.61
"Navarra",15,1,2020-03-06,654214,0.15
"Navarra",15,3,2020-03-12,654214,0.46
"Navarra",15,5,2020-03-16,654214,0.76
"Navarra",15,1,2020-03-05,654214,0.15
"Navarra",15,1,2020-03-04,654214,0.15
"Navarra",15,1,2020-03-09,654214,0.15
"País Vasco",16,20,2020-03-13,2207776,0.91
"País Vasco",16,5,2020-03-09,2207776,0.23
"País Vasco",16,15,2020-03-11,2207776,0.68
"País Vasco",16,1,2020-03-06,2207776,0.05
"País Vasco",16,5,2020-03-10,2207776,0.23
"País Vasco",16,18,2020-03-12,2207776,0.82
"País Vasco",16,29,2020-03-16,2207776,1.31
"País Vasco",16,0,2020-03-04,2207776,0
"País Vasco",16,0,2020-03-05,2207776,0
"Total",0,9,2020-03-05,NA,NA
"Total",0,68,2020-03-09,NA,NA
"Total",0,142,2020-03-11,NA,NA
"Total",0,272,2020-03-13,NA,NA
"Total",0,100,2020-03-10,NA,NA
"Total",0,190,2020-03-12,NA,NA
"Total",0,7,2020-03-04,NA,NA
"Total",0,11,2020-03-06,NA,NA
"Total",0,432,2020-03-16,NA,NA
