"date","region_code","region","country","population","cases_registered","cases_per_100000","intensive_care","intensive_care_per_1000000","deceassed","deceassed_per_100000","recovered","recovered_per_100000","hospitalized","hospitalized_per_100000"
2020-03-17,17,"La Rioja","Spain",316798,355,112.06,13,4.1,5,1.58,2,0.63,NA,NA
2020-03-18,17,"La Rioja","Spain",316798,419,132.26,13,4.1,5,1.58,2,0.63,NA,NA
2020-03-19,17,"La Rioja","Spain",316798,468,147.73,15,4.73,5,1.58,2,0.63,NA,NA
2020-03-20,17,"La Rioja","Spain",316798,497,156.88,15,4.73,7,2.21,13,4.1,NA,NA
2020-03-21,17,"La Rioja","Spain",316798,564,178.03,17,5.37,15,4.73,18,5.68,128,404.04
2020-03-22,17,"La Rioja","Spain",316798,654,206.44,17,5.37,18,5.68,18,5.68,134,422.98
2020-03-23,17,"La Rioja","Spain",316798,747,235.8,22,6.94,22,6.94,18,5.68,166,523.99
2020-03-24,17,"La Rioja","Spain",316798,802,253.16,24,7.58,30,9.47,24,7.58,206,650.26
2020-03-25,17,"La Rioja","Spain",316798,928,292.93,33,10.42,37,11.68,43,13.57,254,801.77
2020-03-26,17,"La Rioja","Spain",316798,995,314.08,36,11.36,43,13.57,48,15.15,316,997.48
2020-03-27,17,"La Rioja","Spain",316798,1236,390.15,43,13.57,55,17.36,62,19.57,388,1224.76
2020-03-28,17,"La Rioja","Spain",316798,1436,453.29,43,13.57,65,20.52,364,114.9,458,1445.72
2020-03-29,17,"La Rioja","Spain",316798,1629,514.21,43,13.57,68,21.46,397,125.32,497,1568.82
2020-03-30,17,"La Rioja","Spain",316798,1733,547.04,43,13.57,71,22.41,431,136.05,517,1631.95
2020-03-31,17,"La Rioja","Spain",316798,1810,571.34,51,16.1,85,26.83,496,156.57,575,1815.04
2020-04-01,17,"La Rioja","Spain",316798,1960,618.69,54,17.05,90,28.41,569,179.61,619,1953.93
2020-04-02,17,"La Rioja","Spain",316798,2083,657.52,57,17.99,101,31.88,641,202.34,660,2083.35
2020-04-03,17,"La Rioja","Spain",316798,2224,702.02,64,20.2,109,34.41,745,235.17,738,2329.56
2020-04-04,17,"La Rioja","Spain",316798,2405,759.16,64,20.2,128,40.4,843,266.1,805,2541.05
2020-04-05,17,"La Rioja","Spain",316798,2592,818.19,66,20.83,134,42.3,904,285.36,855,2698.88
2020-04-06,17,"La Rioja","Spain",316798,2719,858.28,66,20.83,141,44.51,964,304.29,888,2803.05
2020-04-07,17,"La Rioja","Spain",316798,2846,898.36,66,20.83,160,50.51,994,313.76,918,2897.75
2020-04-08,17,"La Rioja","Spain",316798,2951,931.51,68,21.46,177,55.87,1061,334.91,955,3014.54
2020-04-09,17,"La Rioja","Spain",316798,3026,955.18,69,21.78,182,57.45,1172,369.95,997,3147.12
2020-04-10,17,"La Rioja","Spain",316798,3076,970.97,71,22.41,196,61.87,1256,396.47,1047,3304.95
2020-04-11,17,"La Rioja","Spain",316798,3223,1017.37,73,23.04,207,65.34,1337,422.04,1082,3415.43
2020-04-12,17,"La Rioja","Spain",316798,3279,1035.04,73,23.04,219,69.13,1420,448.24,1122,3541.69
2020-04-13,17,"La Rioja","Spain",316798,3358,1059.98,73,23.04,223,70.39,1458,460.23,1141,3601.66
2020-04-14,17,"La Rioja","Spain",316798,3420,1079.55,74,23.36,234,73.86,1519,479.49,1152,3636.39
2020-04-15,17,"La Rioja","Spain",316798,3457,1091.23,75,23.67,246,77.65,1585,500.32,1182,3731.08
2020-04-16,17,"La Rioja","Spain",316798,3916,1236.12,75,23.67,257,81.12,1654,522.1,1207,3810
2020-04-17,17,"La Rioja","Spain",316798,4098,1293.57,76,23.99,262,82.7,1729,545.77,1226,3869.97
2020-04-18,17,"La Rioja","Spain",316798,3648,1151.52,78,24.62,272,85.86,1777,560.93,1249,3942.58
2020-04-19,17,"La Rioja","Spain",316798,3705,1169.51,79,24.94,277,87.44,1816,573.24,1268,4002.55
2020-04-20,17,"La Rioja","Spain",316798,3734,1178.67,79,24.94,285,89.96,1833,578.6,1282,4046.74
2020-04-21,17,"La Rioja","Spain",316798,3763,1187.82,81,25.57,294,92.8,1866,589.02,1297,4094.09
2020-04-22,17,"La Rioja","Spain",316798,3792,1196.98,81,25.57,298,94.07,1899,599.44,1318,4160.38
2020-02-27,13,"Madrid","Spain",6663394,4,0.06,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,13,"Madrid","Spain",6663394,5,0.08,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,13,"Madrid","Spain",6663394,8,0.12,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,13,"Madrid","Spain",6663394,10,0.15,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,13,"Madrid","Spain",6663394,29,0.44,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,13,"Madrid","Spain",6663394,49,0.74,NA,NA,0,0,NA,NA,NA,NA
2020-03-04,13,"Madrid","Spain",6663394,70,1.05,2,0.03,0,0,NA,NA,NA,NA
2020-03-05,13,"Madrid","Spain",6663394,90,1.35,2,0.03,1,0.02,NA,NA,NA,NA
2020-03-06,13,"Madrid","Spain",6663394,137,2.06,2,0.03,2,0.03,NA,NA,NA,NA
2020-03-07,13,"Madrid","Spain",6663394,174,2.61,NA,NA,4,0.06,NA,NA,NA,NA
2020-03-08,13,"Madrid","Spain",6663394,202,3.03,NA,NA,8,0.12,NA,NA,NA,NA
2020-03-09,13,"Madrid","Spain",6663394,469,7.04,53,0.8,8,0.12,NA,NA,NA,NA
2020-03-10,13,"Madrid","Spain",6663394,782,11.74,77,1.16,21,0.32,NA,NA,NA,NA
2020-03-11,13,"Madrid","Spain",6663394,1024,15.37,102,1.53,31,0.47,NA,NA,NA,NA
2020-03-12,13,"Madrid","Spain",6663394,1388,20.83,135,2.03,56,0.84,NA,NA,NA,NA
2020-03-13,13,"Madrid","Spain",6663394,1990,29.86,180,2.7,81,1.22,NA,NA,NA,NA
2020-03-14,13,"Madrid","Spain",6663394,2940,44.12,NA,NA,86,1.29,NA,NA,NA,NA
2020-03-15,13,"Madrid","Spain",6663394,3544,53.19,NA,NA,213,3.2,NA,NA,NA,NA
2020-03-16,13,"Madrid","Spain",6663394,4165,62.51,253,3.8,213,3.2,474,7.11,NA,NA
2020-03-17,13,"Madrid","Spain",6663394,4871,73.1,340,5.1,355,5.33,951,14.27,NA,NA
2020-03-18,13,"Madrid","Spain",6663394,5637,84.6,491,7.37,390,5.85,951,14.27,NA,NA
2020-03-19,13,"Madrid","Spain",6663394,6777,101.7,590,8.85,498,7.47,941,14.12,NA,NA
2020-03-20,13,"Madrid","Spain",6663394,7165,107.53,678,10.17,628,9.42,1186,17.8,NA,NA
2020-03-21,13,"Madrid","Spain",6663394,8921,133.88,767,11.51,804,12.07,1542,23.14,7388,1108.74
2020-03-22,13,"Madrid","Spain",6663394,9702,145.6,834,12.52,1021,15.32,1899,28.5,8441,1266.77
2020-03-23,13,"Madrid","Spain",6663394,10575,158.7,942,14.14,1263,18.95,2063,30.96,9561,1434.85
2020-03-24,13,"Madrid","Spain",6663394,12352,185.37,1050,15.76,1535,23.04,2291,34.38,10443,1567.22
2020-03-25,13,"Madrid","Spain",6663394,14597,219.06,1150,17.26,1825,27.39,3031,45.49,11153,1673.77
2020-03-26,13,"Madrid","Spain",6663394,17166,257.62,1221,18.32,2090,31.37,3882,58.26,12440,1866.92
2020-03-27,13,"Madrid","Spain",6663394,19243,288.79,1312,19.69,2412,36.2,5044,75.7,13580,2038
2020-03-28,13,"Madrid","Spain",6663394,21520,322.96,1404,21.07,2757,41.38,6326,94.94,14211,2132.7
2020-03-29,13,"Madrid","Spain",6663394,22677,340.32,1429,21.45,3082,46.25,7491,112.42,14454,2169.16
2020-03-30,13,"Madrid","Spain",6663394,24090,361.53,1460,21.91,3392,50.9,8301,124.58,14917,2238.65
2020-03-31,13,"Madrid","Spain",6663394,27509,412.84,1514,22.72,3603,54.07,9330,140.02,15140,2272.12
2020-04-01,13,"Madrid","Spain",6663394,29840,447.82,1514,22.72,3865,58,10827,162.48,15227,2285.17
2020-04-02,13,"Madrid","Spain",6663394,32155,482.56,1528,22.93,4175,62.66,12400,186.09,15227,2285.17
2020-04-03,13,"Madrid","Spain",6663394,34188,513.07,1506,22.6,4483,67.28,13850,207.85,15050,2258.61
2020-04-04,13,"Madrid","Spain",6663394,36249,544,1498,22.48,4723,70.88,15362,230.54,14741,2212.24
2020-04-05,13,"Madrid","Spain",6663394,37584,564.04,1499,22.5,4941,74.15,16543,248.27,14551,2183.72
2020-04-06,13,"Madrid","Spain",6663394,38723,581.13,1510,22.66,5136,77.08,17322,259.96,14501,2176.22
2020-04-07,13,"Madrid","Spain",6663394,40469,607.33,1494,22.42,5371,80.6,18410,276.29,13950,2093.53
2020-04-08,13,"Madrid","Spain",6663394,42450,637.06,1450,21.76,5586,83.83,19836,297.69,13289,1994.33
2020-04-09,13,"Madrid","Spain",6663394,43877,658.48,1433,21.51,5800,87.04,21121,316.97,12853,1928.9
2020-04-10,13,"Madrid","Spain",6663394,44783,672.07,1399,21,5972,89.62,22414,336.38,12432,1865.72
2020-04-11,13,"Madrid","Spain",6663394,45849,688.07,1376,20.65,6084,91.3,23663,355.12,11894,1784.98
2020-04-12,13,"Madrid","Spain",6663394,46587,699.15,1332,19.99,6278,94.22,24683,370.43,11424,1714.44
2020-04-13,13,"Madrid","Spain",6663394,47146,707.54,1327,19.91,6423,96.39,25385,380.96,11233,1685.78
2020-04-14,13,"Madrid","Spain",6663394,48048,721.07,1299,19.49,6568,98.57,26247,393.9,10753,1613.74
2020-04-15,13,"Madrid","Spain",6663394,49526,743.25,1244,18.67,6724,100.91,27433,411.7,10116,1518.15
2020-04-16,13,"Madrid","Spain",6663394,50694,760.78,1206,18.1,6877,103.21,28491,427.57,9653,1448.66
2020-04-17,13,"Madrid","Spain",6663394,51993,780.28,1154,17.32,7007,105.16,29436,441.76,9141,1371.82
2020-04-18,13,"Madrid","Spain",6663394,52946,794.58,1094,16.42,7132,107.03,30475,457.35,8597,1290.18
2020-04-19,13,"Madrid","Spain",6663394,54884,823.66,1123,16.85,7239,108.64,31313,469.93,8291,1244.26
2020-04-20,13,"Madrid","Spain",6663394,56963,854.86,1111,16.67,7351,110.32,31762,476.66,8191,1229.25
2020-04-21,13,"Madrid","Spain",6663394,57997,870.38,1076,16.15,7460,111.95,32277,484.39,7930,1190.08
2020-04-22,13,"Madrid","Spain",6663394,59199,888.42,1024,15.37,7577,113.71,33032,495.72,7464,1120.15
2020-02-27,19,"Melilla","Spain",86487,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,19,"Melilla","Spain",86487,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,19,"Melilla","Spain",86487,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,19,"Melilla","Spain",86487,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,19,"Melilla","Spain",86487,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,19,"Melilla","Spain",86487,0,0,NA,NA,0,0,NA,NA,NA,NA
2020-03-04,19,"Melilla","Spain",86487,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-05,19,"Melilla","Spain",86487,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-06,19,"Melilla","Spain",86487,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-07,19,"Melilla","Spain",86487,0,0,NA,NA,0,0,NA,NA,NA,NA
2020-03-08,19,"Melilla","Spain",86487,0,0,NA,NA,0,0,NA,NA,NA,NA
2020-03-09,19,"Melilla","Spain",86487,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-10,19,"Melilla","Spain",86487,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-11,19,"Melilla","Spain",86487,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-12,19,"Melilla","Spain",86487,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-13,19,"Melilla","Spain",86487,2,2.31,0,0,0,0,NA,NA,NA,NA
2020-03-14,19,"Melilla","Spain",86487,3,3.47,NA,NA,0,0,NA,NA,NA,NA
2020-03-15,19,"Melilla","Spain",86487,8,9.25,NA,NA,0,0,NA,NA,NA,NA
2020-03-16,19,"Melilla","Spain",86487,8,9.25,0,0,0,0,0,0,NA,NA
2020-03-17,19,"Melilla","Spain",86487,17,19.66,0,0,0,0,0,0,NA,NA
2020-03-18,19,"Melilla","Spain",86487,20,23.12,0,0,0,0,0,0,NA,NA
2020-03-19,19,"Melilla","Spain",86487,23,26.59,0,0,0,0,0,0,NA,NA
2020-03-20,19,"Melilla","Spain",86487,24,27.75,1,1.16,0,0,0,0,NA,NA
2020-03-21,19,"Melilla","Spain",86487,25,28.91,1,1.16,0,0,0,0,8,92.5
2020-03-22,19,"Melilla","Spain",86487,25,28.91,1,1.16,0,0,0,0,12,138.75
2020-03-23,19,"Melilla","Spain",86487,28,32.37,1,1.16,0,0,0,0,12,138.75
2020-03-24,19,"Melilla","Spain",86487,28,32.37,1,1.16,0,0,0,0,12,138.75
2020-03-25,19,"Melilla","Spain",86487,38,43.94,2,2.31,0,0,0,0,14,161.87
2020-03-26,19,"Melilla","Spain",86487,39,45.09,2,2.31,1,1.16,0,0,16,185
2020-03-27,19,"Melilla","Spain",86487,42,48.56,2,2.31,1,1.16,0,0,18,208.12
2020-03-28,19,"Melilla","Spain",86487,45,52.03,2,2.31,1,1.16,0,0,22,254.37
2020-03-29,19,"Melilla","Spain",86487,48,55.5,2,2.31,1,1.16,0,0,24,277.5
2020-03-30,19,"Melilla","Spain",86487,51,58.97,3,3.47,1,1.16,0,0,27,312.19
2020-03-31,19,"Melilla","Spain",86487,54,62.44,3,3.47,1,1.16,0,0,27,312.19
2020-04-01,19,"Melilla","Spain",86487,62,71.69,3,3.47,1,1.16,0,0,32,370
2020-04-02,19,"Melilla","Spain",86487,62,71.69,3,3.47,1,1.16,0,0,32,370
2020-04-03,19,"Melilla","Spain",86487,70,80.94,3,3.47,2,2.31,4,4.62,34,393.12
2020-04-04,19,"Melilla","Spain",86487,79,91.34,3,3.47,2,2.31,9,10.41,37,427.81
2020-04-05,19,"Melilla","Spain",86487,83,95.97,3,3.47,2,2.31,11,12.72,38,439.37
2020-04-06,19,"Melilla","Spain",86487,86,99.44,3,3.47,2,2.31,11,12.72,38,439.37
2020-04-07,19,"Melilla","Spain",86487,92,106.37,3,3.47,2,2.31,11,12.72,40,462.5
2020-04-08,19,"Melilla","Spain",86487,93,107.53,3,3.47,2,2.31,12,13.87,40,462.5
2020-04-09,19,"Melilla","Spain",86487,93,107.53,3,3.47,2,2.31,16,18.5,40,462.5
2020-04-10,19,"Melilla","Spain",86487,95,109.84,3,3.47,2,2.31,17,19.66,41,474.06
2020-04-11,19,"Melilla","Spain",86487,98,113.31,3,3.47,2,2.31,18,20.81,43,497.18
2020-04-12,19,"Melilla","Spain",86487,98,113.31,3,3.47,2,2.31,18,20.81,43,497.18
2020-04-13,19,"Melilla","Spain",86487,101,116.78,3,3.47,2,2.31,18,20.81,43,497.18
2020-04-14,19,"Melilla","Spain",86487,101,116.78,3,3.47,2,2.31,18,20.81,43,497.18
2020-04-15,19,"Melilla","Spain",86487,102,117.94,3,3.47,2,2.31,24,27.75,43,497.18
2020-04-16,19,"Melilla","Spain",86487,103,119.09,3,3.47,2,2.31,27,31.22,43,497.18
2020-04-17,19,"Melilla","Spain",86487,104,120.25,3,3.47,2,2.31,30,34.69,44,508.75
2020-04-18,19,"Melilla","Spain",86487,104,120.25,3,3.47,2,2.31,30,34.69,44,508.75
2020-04-19,19,"Melilla","Spain",86487,104,120.25,3,3.47,2,2.31,44,50.87,44,508.75
2020-04-20,19,"Melilla","Spain",86487,104,120.25,3,3.47,2,2.31,46,53.19,44,508.75
2020-04-21,19,"Melilla","Spain",86487,105,121.41,3,3.47,2,2.31,46,53.19,44,508.75
2020-04-22,19,"Melilla","Spain",86487,105,121.41,3,3.47,2,2.31,50,57.81,44,508.75
2020-02-27,14,"Murcia","Spain",1493898,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,14,"Murcia","Spain",1493898,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,14,"Murcia","Spain",1493898,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,14,"Murcia","Spain",1493898,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,14,"Murcia","Spain",1493898,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,14,"Murcia","Spain",1493898,0,0,NA,NA,0,0,NA,NA,NA,NA
2020-03-04,14,"Murcia","Spain",1493898,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-05,14,"Murcia","Spain",1493898,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-06,14,"Murcia","Spain",1493898,0,0,0,0,0,0,NA,NA,NA,NA
2020-03-07,14,"Murcia","Spain",1493898,0,0,NA,NA,0,0,NA,NA,NA,NA
2020-03-08,14,"Murcia","Spain",1493898,1,0.07,NA,NA,0,0,NA,NA,NA,NA
2020-03-09,14,"Murcia","Spain",1493898,4,0.27,0,0,0,0,NA,NA,NA,NA
2020-03-10,14,"Murcia","Spain",1493898,9,0.6,0,0,0,0,NA,NA,NA,NA
2020-03-11,14,"Murcia","Spain",1493898,11,0.74,0,0,0,0,NA,NA,NA,NA
2020-03-12,14,"Murcia","Spain",1493898,26,1.74,1,0.07,0,0,NA,NA,NA,NA
2020-03-13,14,"Murcia","Spain",1493898,35,2.34,1,0.07,0,0,NA,NA,NA,NA
2020-03-14,14,"Murcia","Spain",1493898,47,3.15,NA,NA,0,0,NA,NA,NA,NA
2020-03-15,14,"Murcia","Spain",1493898,71,4.75,NA,NA,0,0,NA,NA,NA,NA
2020-03-16,14,"Murcia","Spain",1493898,77,5.15,2,0.13,0,0,1,0.07,NA,NA
2020-03-17,14,"Murcia","Spain",1493898,97,6.49,3,0.2,0,0,1,0.07,NA,NA
2020-03-18,14,"Murcia","Spain",1493898,122,8.17,4,0.27,0,0,1,0.07,NA,NA
2020-03-19,14,"Murcia","Spain",1493898,167,11.18,6,0.4,0,0,1,0.07,NA,NA
2020-03-20,14,"Murcia","Spain",1493898,204,13.66,11,0.74,0,0,1,0.07,NA,NA
2020-03-21,14,"Murcia","Spain",1493898,240,16.07,14,0.94,1,0.07,1,0.07,61,40.83
2020-03-22,14,"Murcia","Spain",1493898,296,19.81,16,1.07,1,0.07,1,0.07,78,52.21
2020-03-23,14,"Murcia","Spain",1493898,345,23.09,23,1.54,2,0.13,1,0.07,80,53.55
2020-03-24,14,"Murcia","Spain",1493898,385,25.77,26,1.74,3,0.2,1,0.07,99,66.27
2020-03-25,14,"Murcia","Spain",1493898,477,31.93,33,2.21,5,0.33,4,0.27,127,85.01
2020-03-26,14,"Murcia","Spain",1493898,596,39.9,36,2.41,8,0.54,9,0.6,172,115.14
2020-03-27,14,"Murcia","Spain",1493898,714,47.79,53,3.55,15,1,12,0.8,209,139.9
2020-03-28,14,"Murcia","Spain",1493898,802,53.69,58,3.88,17,1.14,12,0.8,231,154.63
2020-03-29,14,"Murcia","Spain",1493898,872,58.37,58,3.88,20,1.34,16,1.07,260,174.04
2020-03-30,14,"Murcia","Spain",1493898,939,62.86,58,3.88,25,1.67,17,1.14,265,177.39
2020-03-31,14,"Murcia","Spain",1493898,974,65.2,59,3.95,34,2.28,20,1.34,283,189.44
2020-04-01,14,"Murcia","Spain",1493898,1041,69.68,59,3.95,37,2.48,43,2.88,304,203.49
2020-04-02,14,"Murcia","Spain",1493898,1084,72.56,68,4.55,42,2.81,45,3.01,389,260.39
2020-04-03,14,"Murcia","Spain",1493898,1145,76.65,72,4.82,46,3.08,90,6.02,405,271.1
2020-04-04,14,"Murcia","Spain",1493898,1188,79.52,79,5.29,51,3.41,113,7.56,434,290.52
2020-04-05,14,"Murcia","Spain",1493898,1235,82.67,80,5.36,59,3.95,130,8.7,447,299.22
2020-04-06,14,"Murcia","Spain",1493898,1259,84.28,81,5.42,68,4.55,156,10.44,468,313.27
2020-04-07,14,"Murcia","Spain",1493898,1283,85.88,84,5.62,78,5.22,193,12.92,500,334.69
2020-04-08,14,"Murcia","Spain",1493898,1326,88.76,86,5.76,85,5.69,203,13.59,515,344.74
2020-04-09,14,"Murcia","Spain",1493898,1356,90.77,87,5.82,88,5.89,219,14.66,533,356.78
2020-04-10,14,"Murcia","Spain",1493898,1383,92.58,88,5.89,90,6.02,255,17.07,533,356.78
2020-04-11,14,"Murcia","Spain",1493898,1413,94.58,88,5.89,94,6.29,275,18.41,533,356.78
2020-04-12,14,"Murcia","Spain",1493898,1449,96.99,91,6.09,97,6.49,344,23.03,537,359.46
2020-04-13,14,"Murcia","Spain",1493898,1463,97.93,94,6.29,101,6.76,353,23.63,543,363.48
2020-04-14,14,"Murcia","Spain",1493898,1487,99.54,96,6.43,106,7.1,476,31.86,566,378.87
2020-04-15,14,"Murcia","Spain",1493898,1520,101.75,97,6.49,109,7.3,513,34.34,574,384.23
2020-04-16,14,"Murcia","Spain",1493898,1598,106.97,97,6.49,111,7.43,516,34.54,575,384.9
2020-04-17,14,"Murcia","Spain",1493898,1625,108.78,99,6.63,112,7.5,545,36.48,585,391.59
2020-04-18,14,"Murcia","Spain",1493898,1638,109.65,102,6.83,115,7.7,638,42.71,611,409
2020-04-19,14,"Murcia","Spain",1493898,1644,110.05,102,6.83,116,7.76,652,43.64,612,409.67
2020-04-20,14,"Murcia","Spain",1493898,1646,110.18,103,6.89,117,7.83,662,44.31,612,409.67
2020-04-21,14,"Murcia","Spain",1493898,1681,112.52,104,6.96,120,8.03,702,46.99,614,411.01
2020-04-22,14,"Murcia","Spain",1493898,1695,113.46,104,6.96,123,8.23,761,50.94,622,416.36
2020-02-27,15,"Navarra","Spain",654214,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-28,15,"Navarra","Spain",654214,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29,15,"Navarra","Spain",654214,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01,15,"Navarra","Spain",654214,1,0.15,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02,15,"Navarra","Spain",654214,1,0.15,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03,15,"Navarra","Spain",654214,1,0.15,NA,NA,0,0,NA,NA,NA,NA
2020-03-04,15,"Navarra","Spain",654214,3,0.46,1,0.15,0,0,NA,NA,NA,NA
2020-03-05,15,"Navarra","Spain",654214,3,0.46,1,0.15,0,0,NA,NA,NA,NA
2020-03-06,15,"Navarra","Spain",654214,3,0.46,1,0.15,0,0,NA,NA,NA,NA
2020-03-07,15,"Navarra","Spain",654214,3,0.46,NA,NA,0,0,NA,NA,NA,NA
2020-03-08,15,"Navarra","Spain",654214,3,0.46,NA,NA,0,0,NA,NA,NA,NA
2020-03-09,15,"Navarra","Spain",654214,3,0.46,1,0.15,0,0,NA,NA,NA,NA
2020-03-10,15,"Navarra","Spain",654214,12,1.83,2,0.31,0,0,NA,NA,NA,NA
2020-03-11,15,"Navarra","Spain",654214,46,7.03,3,0.46,0,0,NA,NA,NA,NA
2020-03-12,15,"Navarra","Spain",654214,73,11.16,3,0.46,0,0,NA,NA,NA,NA
2020-03-13,15,"Navarra","Spain",654214,130,19.87,4,0.61,0,0,NA,NA,NA,NA
2020-03-14,15,"Navarra","Spain",654214,146,22.32,NA,NA,0,0,NA,NA,NA,NA
2020-03-15,15,"Navarra","Spain",654214,183,27.97,NA,NA,0,0,NA,NA,NA,NA
2020-03-16,15,"Navarra","Spain",654214,274,41.88,5,0.76,1,0.15,0,0,NA,NA
2020-03-17,15,"Navarra","Spain",654214,313,47.84,10,1.53,2,0.31,0,0,NA,NA
2020-03-18,15,"Navarra","Spain",654214,386,59,10,1.53,3,0.46,0,0,NA,NA
2020-03-19,15,"Navarra","Spain",654214,482,73.68,11,1.68,4,0.61,0,0,NA,NA
2020-03-20,15,"Navarra","Spain",654214,554,84.68,19,2.9,5,0.76,1,0.15,NA,NA
2020-03-21,15,"Navarra","Spain",654214,664,101.5,25,3.82,9,1.38,1,0.15,222,339.34
2020-03-22,15,"Navarra","Spain",654214,794,121.37,30,4.59,14,2.14,4,0.61,288,440.22
2020-03-23,15,"Navarra","Spain",654214,886,135.43,40,6.11,24,3.67,7,1.07,339,518.18
2020-03-24,15,"Navarra","Spain",654214,1014,155,45,6.88,31,4.74,11,1.68,405,619.06
2020-03-25,15,"Navarra","Spain",654214,1197,182.97,51,7.8,33,5.04,23,3.52,506,773.45
2020-03-26,15,"Navarra","Spain",654214,1411,215.68,54,8.25,49,7.49,35,5.35,649,992.03
2020-03-27,15,"Navarra","Spain",654214,1641,250.84,75,11.46,58,8.87,70,10.7,732,1118.9
2020-03-28,15,"Navarra","Spain",654214,1829,279.57,84,12.84,70,10.7,98,14.98,827,1264.11
2020-03-29,15,"Navarra","Spain",654214,2011,307.39,90,13.76,84,12.84,125,19.11,896,1369.58
2020-03-30,15,"Navarra","Spain",654214,2146,328.03,96,14.67,102,15.59,161,24.61,955,1459.77
2020-03-31,15,"Navarra","Spain",654214,2305,352.33,99,15.13,113,17.27,192,29.35,1035,1582.05
2020-04-01,15,"Navarra","Spain",654214,2497,381.68,104,15.9,130,19.87,236,36.07,1120,1711.98
2020-04-02,15,"Navarra","Spain",654214,2682,409.96,108,16.51,141,21.55,278,42.49,1181,1805.22
2020-04-03,15,"Navarra","Spain",654214,2836,433.5,119,18.19,151,23.08,294,44.94,1284,1962.66
2020-04-04,15,"Navarra","Spain",654214,2972,454.29,120,18.34,171,26.14,311,47.54,1341,2049.79
2020-04-05,15,"Navarra","Spain",654214,3073,469.72,123,18.8,178,27.21,334,51.05,1399,2138.44
2020-04-06,15,"Navarra","Spain",654214,3231,493.88,124,18.95,187,28.58,380,58.08,1432,2188.89
2020-04-07,15,"Navarra","Spain",654214,3355,512.83,124,18.95,202,30.88,421,64.35,1488,2274.49
2020-04-08,15,"Navarra","Spain",654214,3467,529.95,124,18.95,206,31.49,450,68.78,1526,2332.57
2020-04-09,15,"Navarra","Spain",654214,3575,546.46,124,18.95,214,32.71,462,70.62,1526,2332.57
2020-04-10,15,"Navarra","Spain",654214,3748,572.9,124,18.95,218,33.32,560,85.6,1620,2476.25
2020-04-11,15,"Navarra","Spain",654214,3817,583.45,124,18.95,227,34.7,603,92.17,1641,2508.35
2020-04-12,15,"Navarra","Spain",654214,3969,606.68,124,18.95,232,35.46,650,99.36,1663,2541.98
2020-04-13,15,"Navarra","Spain",654214,4092,625.48,124,18.95,239,36.53,695,106.23,1693,2587.84
2020-04-14,15,"Navarra","Spain",654214,4150,634.35,124,18.95,249,38.06,730,111.58,1705,2606.18
2020-04-15,15,"Navarra","Spain",654214,4246,649.02,124,18.95,252,38.52,808,123.51,1731,2645.92
2020-04-16,15,"Navarra","Spain",654214,4348,664.61,124,18.95,261,39.9,845,129.16,1752,2678.02
2020-04-17,15,"Navarra","Spain",654214,4433,677.61,124,18.95,338,51.67,892,136.35,1781,2722.35
2020-04-18,15,"Navarra","Spain",654214,4556,696.41,127,19.41,354,54.11,954,145.82,1829,2795.72
2020-04-19,15,"Navarra","Spain",654214,4621,706.34,127,19.41,369,56.4,992,151.63,1843,2817.12
2020-04-20,15,"Navarra","Spain",654214,4697,717.96,128,19.57,385,58.85,1123,171.66,1856,2836.99
2020-04-21,15,"Navarra","Spain",654214,4781,730.8,128,19.57,397,60.68,1190,181.9,1877,2869.09
2020-04-22,15,"Navarra","Spain",654214,4899,748.84,128,19.57,401,61.29,1316,201.16,1894,2895.08
2020-02-27,16,"País Vasco","Spain",2207776,0,0,NA,NA,NA,NA,NA,NA,NA,NA
