"CCAA","cod_ine","value","date","poblacion","per_cienmil","daily_deaths","daily_deaths_inc","daily_deaths_avg6"
"Ceuta",18,0,2020-03-05,84777,0,0,NA,NA
"Extremadura",11,0,2020-03-05,1067710,0,0,NA,NA
"Galicia",12,0,2020-03-05,2699499,0,0,NA,NA
"La Rioja",17,0,2020-03-05,316798,0,0,NA,NA
"Madrid",13,1,2020-03-05,6663394,0.02,1,Inf,NA
"Melilla",19,0,2020-03-05,86487,0,0,NA,NA
"Murcia",14,0,2020-03-05,1493898,0,0,NA,NA
"Navarra",15,0,2020-03-05,654214,0,0,NA,NA
"País Vasco",16,1,2020-03-05,2207776,0.05,1,Inf,NA
"Total",0,3,2020-03-05,NA,NA,2,200,NA
"Andalucía",1,0,2020-03-06,8414240,0,0,NA,NA
"Aragón",2,1,2020-03-06,1319291,0.08,1,Inf,NA
"Asturias",3,0,2020-03-06,1022800,0,0,NA,NA
"Baleares",4,0,2020-03-06,1149460,0,0,NA,NA
"C. Valenciana",10,1,2020-03-06,5003769,0.02,0,0,NA
"Canarias",5,0,2020-03-06,2153389,0,0,NA,NA
"Cantabria",6,0,2020-03-06,581078,0,0,NA,NA
"Castilla y León",7,0,2020-03-06,2399548,0,0,NA,NA
"Castilla-La Mancha",8,0,2020-03-06,2032863,0,0,NA,NA
"Cataluña",9,0,2020-03-06,7675217,0,0,NA,NA
"Ceuta",18,0,2020-03-06,84777,0,0,NA,NA
"Extremadura",11,0,2020-03-06,1067710,0,0,NA,NA
"Galicia",12,0,2020-03-06,2699499,0,0,NA,NA
"La Rioja",17,0,2020-03-06,316798,0,0,NA,NA
"Madrid",13,2,2020-03-06,6663394,0.03,1,100,NA
"Melilla",19,0,2020-03-06,86487,0,0,NA,NA
"Murcia",14,0,2020-03-06,1493898,0,0,NA,NA
"Navarra",15,0,2020-03-06,654214,0,0,NA,NA
"País Vasco",16,1,2020-03-06,2207776,0.05,0,0,NA
"Total",0,5,2020-03-06,NA,NA,2,66.7,NA
"Andalucía",1,0,2020-03-07,8414240,0,0,NA,NA
"Aragón",2,1,2020-03-07,1319291,0.08,0,0,NA
"Asturias",3,0,2020-03-07,1022800,0,0,NA,NA
"Baleares",4,0,2020-03-07,1149460,0,0,NA,NA
"C. Valenciana",10,1,2020-03-07,5003769,0.02,0,0,NA
"Canarias",5,0,2020-03-07,2153389,0,0,NA,NA
"Cantabria",6,0,2020-03-07,581078,0,0,NA,NA
"Castilla y León",7,0,2020-03-07,2399548,0,0,NA,NA
"Castilla-La Mancha",8,0,2020-03-07,2032863,0,0,NA,NA
"Cataluña",9,1,2020-03-07,7675217,0.01,1,Inf,NA
"Ceuta",18,0,2020-03-07,84777,0,0,NA,NA
"Extremadura",11,0,2020-03-07,1067710,0,0,NA,NA
"Galicia",12,0,2020-03-07,2699499,0,0,NA,NA
"La Rioja",17,0,2020-03-07,316798,0,0,NA,NA
"Madrid",13,4,2020-03-07,6663394,0.06,2,100,NA
"Melilla",19,0,2020-03-07,86487,0,0,NA,NA
"Murcia",14,0,2020-03-07,1493898,0,0,NA,NA
"Navarra",15,0,2020-03-07,654214,0,0,NA,NA
"País Vasco",16,1,2020-03-07,2207776,0.05,0,0,NA
"Total",0,8,2020-03-07,NA,NA,3,60,NA
"Andalucía",1,0,2020-03-08,8414240,0,0,NA,NA
"Aragón",2,2,2020-03-08,1319291,0.15,1,100,NA
"Asturias",3,0,2020-03-08,1022800,0,0,NA,NA
"Baleares",4,0,2020-03-08,1149460,0,0,NA,NA
"C. Valenciana",10,1,2020-03-08,5003769,0.02,0,0,NA
"Canarias",5,0,2020-03-08,2153389,0,0,NA,NA
"Cantabria",6,0,2020-03-08,581078,0,0,NA,NA
"Castilla y León",7,0,2020-03-08,2399548,0,0,NA,NA
"Castilla-La Mancha",8,0,2020-03-08,2032863,0,0,NA,NA
"Cataluña",9,1,2020-03-08,7675217,0.01,0,0,NA
"Ceuta",18,0,2020-03-08,84777,0,0,NA,NA
"Extremadura",11,0,2020-03-08,1067710,0,0,NA,NA
"Galicia",12,0,2020-03-08,2699499,0,0,NA,NA
"La Rioja",17,0,2020-03-08,316798,0,0,NA,NA
"Madrid",13,8,2020-03-08,6663394,0.12,4,100,NA
"Melilla",19,0,2020-03-08,86487,0,0,NA,NA
"Murcia",14,0,2020-03-08,1493898,0,0,NA,NA
"Navarra",15,0,2020-03-08,654214,0,0,NA,NA
"País Vasco",16,5,2020-03-08,2207776,0.23,4,400,NA
"Total",0,17,2020-03-08,NA,NA,9,112.5,NA
"Andalucía",1,0,2020-03-09,8414240,0,0,NA,0
"Aragón",2,2,2020-03-09,1319291,0.15,0,0,0.3
"Asturias",3,0,2020-03-09,1022800,0,0,NA,0
"Baleares",4,0,2020-03-09,1149460,0,0,NA,0
"C. Valenciana",10,1,2020-03-09,5003769,0.02,0,0,0.2
"Canarias",5,0,2020-03-09,2153389,0,0,NA,0
"Cantabria",6,0,2020-03-09,581078,0,0,NA,0
"Castilla y León",7,0,2020-03-09,2399548,0,0,NA,0
"Castilla-La Mancha",8,0,2020-03-09,2032863,0,0,NA,0
"Cataluña",9,1,2020-03-09,7675217,0.01,0,0,0.2
"Ceuta",18,0,2020-03-09,84777,0,0,NA,0
"Extremadura",11,0,2020-03-09,1067710,0,0,NA,0
"Galicia",12,0,2020-03-09,2699499,0,0,NA,0
"La Rioja",17,0,2020-03-09,316798,0,0,NA,0
"Madrid",13,8,2020-03-09,6663394,0.12,0,0,1.3
"Melilla",19,0,2020-03-09,86487,0,0,NA,0
"Murcia",14,0,2020-03-09,1493898,0,0,NA,0
"Navarra",15,0,2020-03-09,654214,0,0,NA,0
"País Vasco",16,5,2020-03-09,2207776,0.23,0,0,0.8
"Total",0,17,2020-03-09,NA,NA,0,0,2.8
"Andalucía",1,0,2020-03-10,8414240,0,0,NA,0
"Aragón",2,3,2020-03-10,1319291,0.23,1,50,0.5
"Asturias",3,0,2020-03-10,1022800,0,0,NA,0
"Baleares",4,0,2020-03-10,1149460,0,0,NA,0
"C. Valenciana",10,1,2020-03-10,5003769,0.02,0,0,0
"Canarias",5,0,2020-03-10,2153389,0,0,NA,0
"Cantabria",6,0,2020-03-10,581078,0,0,NA,0
"Castilla y León",7,0,2020-03-10,2399548,0,0,NA,0
"Castilla-La Mancha",8,0,2020-03-10,2032863,0,0,NA,0
"Cataluña",9,3,2020-03-10,7675217,0.04,2,200,0.5
"Ceuta",18,0,2020-03-10,84777,0,0,NA,0
"Extremadura",11,0,2020-03-10,1067710,0,0,NA,0
"Galicia",12,0,2020-03-10,2699499,0,0,NA,0
"La Rioja",17,1,2020-03-10,316798,0.32,1,Inf,0.2
"Madrid",13,21,2020-03-10,6663394,0.32,13,162.5,3.5
"Melilla",19,0,2020-03-10,86487,0,0,NA,0
"Murcia",14,0,2020-03-10,1493898,0,0,NA,0
"Navarra",15,0,2020-03-10,654214,0,0,NA,0
"País Vasco",16,6,2020-03-10,2207776,0.27,1,20,1
"Total",0,35,2020-03-10,NA,NA,18,105.9,5.7
"Andalucía",1,0,2020-03-11,8414240,0,0,NA,0
"Aragón",2,4,2020-03-11,1319291,0.3,1,33.3,0.7
"Asturias",3,0,2020-03-11,1022800,0,0,NA,0
"Baleares",4,0,2020-03-11,1149460,0,0,NA,0
"C. Valenciana",10,1,2020-03-11,5003769,0.02,0,0,0
"Canarias",5,0,2020-03-11,2153389,0,0,NA,0
"Cantabria",6,0,2020-03-11,581078,0,0,NA,0
"Castilla y León",7,0,2020-03-11,2399548,0,0,NA,0
"Castilla-La Mancha",8,0,2020-03-11,2032863,0,0,NA,0
"Cataluña",9,3,2020-03-11,7675217,0.04,0,0,0.5
"Ceuta",18,0,2020-03-11,84777,0,0,NA,0
"Extremadura",11,0,2020-03-11,1067710,0,0,NA,0
"Galicia",12,0,2020-03-11,2699499,0,0,NA,0
"La Rioja",17,2,2020-03-11,316798,0.63,1,100,0.3
"Madrid",13,31,2020-03-11,6663394,0.47,10,47.6,5
"Melilla",19,0,2020-03-11,86487,0,0,NA,0
"Murcia",14,0,2020-03-11,1493898,0,0,NA,0
"Navarra",15,0,2020-03-11,654214,0,0,NA,0
"País Vasco",16,6,2020-03-11,2207776,0.27,0,0,0.8
"Total",0,47,2020-03-11,NA,NA,12,34.3,7.3
"Andalucía",1,0,2020-03-12,8414240,0,0,NA,0
"Aragón",2,6,2020-03-12,1319291,0.45,2,50,0.8
"Asturias",3,1,2020-03-12,1022800,0.1,1,Inf,0.2
"Baleares",4,1,2020-03-12,1149460,0.09,1,Inf,0.2
"C. Valenciana",10,1,2020-03-12,5003769,0.02,0,0,0
"Canarias",5,0,2020-03-12,2153389,0,0,NA,0
"Cantabria",6,0,2020-03-12,581078,0,0,NA,0
"Castilla y León",7,0,2020-03-12,2399548,0,0,NA,0
"Castilla-La Mancha",8,1,2020-03-12,2032863,0.05,1,Inf,0.2
"Cataluña",9,4,2020-03-12,7675217,0.05,1,33.3,0.7
"Ceuta",18,0,2020-03-12,84777,0,0,NA,0
"Extremadura",11,1,2020-03-12,1067710,0.09,1,Inf,0.2
"Galicia",12,0,2020-03-12,2699499,0,0,NA,0
"La Rioja",17,2,2020-03-12,316798,0.63,0,0,0.3
"Madrid",13,56,2020-03-12,6663394,0.84,25,80.6,9
"Melilla",19,0,2020-03-12,86487,0,0,NA,0
"Murcia",14,0,2020-03-12,1493898,0,0,NA,0
"Navarra",15,0,2020-03-12,654214,0,0,NA,0
"País Vasco",16,11,2020-03-12,2207776,0.5,5,83.3,1.7
"Total",0,84,2020-03-12,NA,NA,37,78.7,13.2
"Andalucía",1,0,2020-03-13,8414240,0,0,NA,0
"Aragón",2,7,2020-03-13,1319291,0.53,1,16.7,1
"Asturias",3,1,2020-03-13,1022800,0.1,0,0,0.2
"Baleares",4,1,2020-03-13,1149460,0.09,0,0,0.2
"C. Valenciana",10,1,2020-03-13,5003769,0.02,0,0,0
"Canarias",5,0,2020-03-13,2153389,0,0,NA,0
"Cantabria",6,0,2020-03-13,581078,0,0,NA,0
"Castilla y León",7,1,2020-03-13,2399548,0.04,1,Inf,0.2
"Castilla-La Mancha",8,5,2020-03-13,2032863,0.25,4,400,0.8
"Cataluña",9,4,2020-03-13,7675217,0.05,0,0,0.5
"Ceuta",18,0,2020-03-13,84777,0,0,NA,0
"Extremadura",11,1,2020-03-13,1067710,0.09,0,0,0.2
"Galicia",12,0,2020-03-13,2699499,0,0,NA,0
"La Rioja",17,2,2020-03-13,316798,0.63,0,0,0.3
"Madrid",13,81,2020-03-13,6663394,1.22,25,44.6,12.8
"Melilla",19,0,2020-03-13,86487,0,0,NA,0
"Murcia",14,0,2020-03-13,1493898,0,0,NA,0
"Navarra",15,0,2020-03-13,654214,0,0,NA,0
"País Vasco",16,14,2020-03-13,2207776,0.63,3,27.3,2.2
"Total",0,120,2020-03-13,NA,NA,36,42.9,18.7
"Andalucía",1,2,2020-03-14,8414240,0.02,2,Inf,0.3
"Aragón",2,7,2020-03-14,1319291,0.53,0,0,0.8
"Asturias",3,1,2020-03-14,1022800,0.1,0,0,0.2
"Baleares",4,1,2020-03-14,1149460,0.09,0,0,0.2
"C. Valenciana",10,4,2020-03-14,5003769,0.08,3,300,0.5
"Canarias",5,1,2020-03-14,2153389,0.05,1,Inf,0.2
"Cantabria",6,0,2020-03-14,581078,0,0,NA,0
"Castilla y León",7,3,2020-03-14,2399548,0.13,2,200,0.5
"Castilla-La Mancha",8,6,2020-03-14,2032863,0.3,1,20,1
"Cataluña",9,6,2020-03-14,7675217,0.08,2,50,0.8
"Ceuta",18,0,2020-03-14,84777,0,0,NA,0
"Extremadura",11,2,2020-03-14,1067710,0.19,1,100,0.3
"Galicia",12,0,2020-03-14,2699499,0,0,NA,0
"La Rioja",17,3,2020-03-14,316798,0.95,1,50,0.5
"Madrid",13,86,2020-03-14,6663394,1.29,5,6.2,13
"Melilla",19,0,2020-03-14,86487,0,0,NA,0
"Murcia",14,0,2020-03-14,1493898,0,0,NA,0
"Navarra",15,0,2020-03-14,654214,0,0,NA,0
"País Vasco",16,14,2020-03-14,2207776,0.63,0,0,1.5
"Total",0,136,2020-03-14,NA,NA,16,13.3,19.8
"Andalucía",1,6,2020-03-15,8414240,0.07,4,200,1
"Aragón",2,7,2020-03-15,1319291,0.53,0,0,0.8
"Asturias",3,1,2020-03-15,1022800,0.1,0,0,0.2
"Baleares",4,1,2020-03-15,1149460,0.09,0,0,0.2
"C. Valenciana",10,5,2020-03-15,5003769,0.1,1,25,0.7
"Canarias",5,1,2020-03-15,2153389,0.05,0,0,0.2
"Cantabria",6,0,2020-03-15,581078,0,0,NA,0
"Castilla y León",7,6,2020-03-15,2399548,0.25,3,100,1
"Castilla-La Mancha",8,10,2020-03-15,2032863,0.49,4,66.7,1.7
"Cataluña",9,8,2020-03-15,7675217,0.1,2,33.3,1.2
"Ceuta",18,0,2020-03-15,84777,0,0,NA,0
"Extremadura",11,2,2020-03-15,1067710,0.19,0,0,0.3
"Galicia",12,2,2020-03-15,2699499,0.07,2,Inf,0.3
"La Rioja",17,3,2020-03-15,316798,0.95,0,0,0.5
"Madrid",13,213,2020-03-15,6663394,3.2,127,147.7,34.2
"Melilla",19,0,2020-03-15,86487,0,0,NA,0
"Murcia",14,0,2020-03-15,1493898,0,0,NA,0
"Navarra",15,0,2020-03-15,654214,0,0,NA,0
"País Vasco",16,23,2020-03-15,2207776,1.04,9,64.3,3
"Total",0,288,2020-03-15,NA,NA,152,111.8,45.2
"Andalucía",1,7,2020-03-16,8414240,0.08,1,16.7,1.2
"Aragón",2,11,2020-03-16,1319291,0.83,4,57.1,1.3
"Asturias",3,1,2020-03-16,1022800,0.1,0,0,0.2
"Baleares",4,1,2020-03-16,1149460,0.09,0,0,0.2
"C. Valenciana",10,5,2020-03-16,5003769,0.1,0,0,0.7
"Canarias",5,1,2020-03-16,2153389,0.05,0,0,0.2
"Cantabria",6,0,2020-03-16,581078,0,0,NA,0
"Castilla y León",7,9,2020-03-16,2399548,0.38,3,50,1.5
"Castilla-La Mancha",8,17,2020-03-16,2032863,0.84,7,70,2.8
"Cataluña",9,12,2020-03-16,7675217,0.16,4,50,1.5
"Ceuta",18,0,2020-03-16,84777,0,0,NA,0
"Extremadura",11,2,2020-03-16,1067710,0.19,0,0,0.3
"Galicia",12,2,2020-03-16,2699499,0.07,0,0,0.3
"La Rioja",17,4,2020-03-16,316798,1.26,1,33.3,0.5
"Madrid",13,213,2020-03-16,6663394,3.2,0,0,32
"Melilla",19,0,2020-03-16,86487,0,0,NA,0
"Murcia",14,0,2020-03-16,1493898,0,0,NA,0
"Navarra",15,1,2020-03-16,654214,0.15,1,Inf,0.2
"País Vasco",16,23,2020-03-16,2207776,1.04,0,0,2.8
"Total",0,309,2020-03-16,NA,NA,21,7.3,45.7
"Andalucía",1,11,2020-03-17,8414240,0.13,4,57.1,1.8
"Aragón",2,12,2020-03-17,1319291,0.91,1,9.1,1.3
"Asturias",3,1,2020-03-17,1022800,0.1,0,0,0.2
"Baleares",4,1,2020-03-17,1149460,0.09,0,0,0.2
"C. Valenciana",10,13,2020-03-17,5003769,0.26,8,160,2
"Canarias",5,2,2020-03-17,2153389,0.09,1,100,0.3
"Cantabria",6,0,2020-03-17,581078,0,0,NA,0
"Castilla y León",7,12,2020-03-17,2399548,0.5,3,33.3,2
"Castilla-La Mancha",8,17,2020-03-17,2032863,0.84,0,0,2.8
"Cataluña",9,18,2020-03-17,7675217,0.23,6,50,2.5
"Ceuta",18,0,2020-03-17,84777,0,0,NA,0
"Extremadura",11,3,2020-03-17,1067710,0.28,1,50,0.5
"Galicia",12,3,2020-03-17,2699499,0.11,1,50,0.5
"La Rioja",17,5,2020-03-17,316798,1.58,1,25,0.5
"Madrid",13,355,2020-03-17,6663394,5.33,142,66.7,54
"Melilla",19,0,2020-03-17,86487,0,0,NA,0
"Murcia",14,0,2020-03-17,1493898,0,0,NA,0
"Navarra",15,2,2020-03-17,654214,0.31,1,100,0.3
"País Vasco",16,36,2020-03-17,2207776,1.63,13,56.5,5
"Total",0,491,2020-03-17,NA,NA,182,58.9,74
"Andalucía",1,19,2020-03-18,8414240,0.23,8,72.7,3.2
"Aragón",2,13,2020-03-18,1319291,0.99,1,8.3,1.2
"Asturias",3,1,2020-03-18,1022800,0.1,0,0,0
"Baleares",4,1,2020-03-18,1149460,0.09,0,0,0
"C. Valenciana",10,22,2020-03-18,5003769,0.44,9,69.2,3.5
"Canarias",5,3,2020-03-18,2153389,0.14,1,50,0.5
"Cantabria",6,1,2020-03-18,581078,0.17,1,Inf,0.2
"Castilla y León",7,22,2020-03-18,2399548,0.92,10,83.3,3.7
"Castilla-La Mancha",8,28,2020-03-18,2032863,1.38,11,64.7,4.5
"Cataluña",9,41,2020-03-18,7675217,0.53,23,127.8,6.2
"Ceuta",18,0,2020-03-18,84777,0,0,NA,0
"Extremadura",11,6,2020-03-18,1067710,0.56,3,100,0.8
"Galicia",12,3,2020-03-18,2699499,0.11,0,0,0.5
"La Rioja",17,5,2020-03-18,316798,1.58,0,0,0.5
"Madrid",13,390,2020-03-18,6663394,5.85,35,9.9,55.7
"Melilla",19,0,2020-03-18,86487,0,0,NA,0
"Murcia",14,0,2020-03-18,1493898,0,0,NA,0
"Navarra",15,3,2020-03-18,654214,0.46,1,50,0.5
"País Vasco",16,40,2020-03-18,2207776,1.81,4,11.1,4.8
"Total",0,598,2020-03-18,NA,NA,107,21.8,85.7
"Andalucía",1,23,2020-03-19,8414240,0.27,4,21.1,3.8
"Aragón",2,15,2020-03-19,1319291,1.14,2,15.4,1.3
"Asturias",3,1,2020-03-19,1022800,0.1,0,0,0
"Baleares",4,2,2020-03-19,1149460,0.17,1,100,0.2
"C. Valenciana",10,24,2020-03-19,5003769,0.48,2,9.1,3.8
"Canarias",5,3,2020-03-19,2153389,0.14,0,0,0.5
"Cantabria",6,1,2020-03-19,581078,0.17,0,0,0.2
"Castilla y León",7,29,2020-03-19,2399548,1.21,7,31.8,4.7
"Castilla-La Mancha",8,42,2020-03-19,2032863,2.07,14,50,6.2
"Cataluña",9,55,2020-03-19,7675217,0.72,14,34.1,8.5
"Ceuta",18,0,2020-03-19,84777,0,0,NA,0
"Extremadura",11,8,2020-03-19,1067710,0.75,2,33.3,1.2
"Galicia",12,4,2020-03-19,2699499,0.15,1,33.3,0.7
"La Rioja",17,5,2020-03-19,316798,1.58,0,0,0.5
"Madrid",13,498,2020-03-19,6663394,7.47,108,27.7,69.5
"Melilla",19,0,2020-03-19,86487,0,0,NA,0
"Murcia",14,0,2020-03-19,1493898,0,0,NA,0
"Navarra",15,4,2020-03-19,654214,0.61,1,33.3,0.7
