"cod_ine","CCAA","value","date","poblacion","per_cienmil"
5,"Canarias",481,2020-03-23,2153389,22.34
5,"Canarias",51,2020-03-12,2153389,2.37
5,"Canarias",22,2020-03-09,2153389,1.02
5,"Canarias",37,2020-03-11,2153389,1.72
5,"Canarias",181,2020-03-18,2153389,8.41
5,"Canarias",287,2020-03-20,2153389,13.33
5,"Canarias",414,2020-03-22,2153389,19.23
5,"Canarias",348,2020-03-21,2153389,16.16
5,"Canarias",557,2020-03-24,2153389,25.87
6,"Cantabria",10,2020-03-04,581078,1.72
6,"Cantabria",0,2020-02-29,581078,0
6,"Cantabria",10,2020-03-02,581078,1.72
6,"Cantabria",1,2020-03-01,581078,0.17
6,"Cantabria",12,2020-03-08,581078,2.07
6,"Cantabria",12,2020-03-10,581078,2.07
6,"Cantabria",58,2020-03-17,581078,9.98
6,"Cantabria",0,2020-02-27,581078,0
6,"Cantabria",10,2020-03-03,581078,1.72
6,"Cantabria",10,2020-03-05,581078,1.72
6,"Cantabria",0,2020-02-28,581078,0
6,"Cantabria",31,2020-03-14,581078,5.33
6,"Cantabria",12,2020-03-11,581078,2.07
6,"Cantabria",29,2020-03-13,581078,4.99
6,"Cantabria",51,2020-03-15,581078,8.78
6,"Cantabria",16,2020-03-12,581078,2.75
6,"Cantabria",10,2020-03-06,581078,1.72
6,"Cantabria",215,2020-03-21,581078,37
6,"Cantabria",347,2020-03-23,581078,59.72
6,"Cantabria",10,2020-03-07,581078,1.72
6,"Cantabria",12,2020-03-09,581078,2.07
6,"Cantabria",58,2020-03-16,581078,9.98
6,"Cantabria",68,2020-03-18,581078,11.7
6,"Cantabria",144,2020-03-20,581078,24.78
6,"Cantabria",425,2020-03-24,581078,73.14
6,"Cantabria",83,2020-03-19,581078,14.28
6,"Cantabria",282,2020-03-22,581078,48.53
7,"Castilla y León",2,2020-02-29,2399548,0.08
7,"Castilla y León",0,2020-02-27,2399548,0
7,"Castilla y León",56,2020-03-10,2399548,2.33
7,"Castilla y León",11,2020-03-04,2399548,0.46
7,"Castilla y León",14,2020-03-06,2399548,0.58
7,"Castilla y León",169,2020-03-13,2399548,7.04
7,"Castilla y León",2,2020-02-28,2399548,0.08
7,"Castilla y León",3,2020-03-01,2399548,0.13
7,"Castilla y León",22,2020-03-08,2399548,0.92
7,"Castilla y León",2055,2020-03-23,2399548,85.64
7,"Castilla y León",14,2020-03-07,2399548,0.58
7,"Castilla y León",23,2020-03-09,2399548,0.96
7,"Castilla y León",71,2020-03-11,2399548,2.96
7,"Castilla y León",1466,2020-03-21,2399548,61.09
7,"Castilla y León",3,2020-03-02,2399548,0.13
7,"Castilla y León",431,2020-03-17,2399548,17.96
7,"Castilla y León",868,2020-03-19,2399548,36.17
7,"Castilla y León",8,2020-03-03,2399548,0.33
7,"Castilla y León",11,2020-03-05,2399548,0.46
7,"Castilla y León",92,2020-03-12,2399548,3.83
7,"Castilla y León",223,2020-03-14,2399548,9.29
7,"Castilla y León",2460,2020-03-24,2399548,102.52
7,"Castilla y León",334,2020-03-16,2399548,13.92
7,"Castilla y León",1147,2020-03-20,2399548,47.8
7,"Castilla y León",1744,2020-03-22,2399548,72.68
7,"Castilla y León",292,2020-03-15,2399548,12.17
7,"Castilla y León",668,2020-03-18,2399548,27.84
8,"Castilla-La Mancha",3,2020-03-02,2032863,0.15
8,"Castilla-La Mancha",0,2020-02-27,2032863,0
8,"Castilla-La Mancha",0,2020-02-29,2032863,0
8,"Castilla-La Mancha",0,2020-02-28,2032863,0
8,"Castilla-La Mancha",15,2020-03-06,2032863,0.74
8,"Castilla-La Mancha",15,2020-03-08,2032863,0.74
8,"Castilla-La Mancha",401,2020-03-15,2032863,19.73
8,"Castilla-La Mancha",1,2020-03-01,2032863,0.05
8,"Castilla-La Mancha",7,2020-03-03,2032863,0.34
8,"Castilla-La Mancha",39,2020-03-10,2032863,1.92
8,"Castilla-La Mancha",115,2020-03-12,2032863,5.66
8,"Castilla-La Mancha",26,2020-03-09,2032863,1.28
8,"Castilla-La Mancha",71,2020-03-11,2032863,3.49
8,"Castilla-La Mancha",194,2020-03-13,2032863,9.54
8,"Castilla-La Mancha",2078,2020-03-23,2032863,102.22
8,"Castilla-La Mancha",12,2020-03-04,2032863,0.59
8,"Castilla-La Mancha",801,2020-03-19,2032863,39.4
8,"Castilla-La Mancha",1423,2020-03-21,2032863,70
8,"Castilla-La Mancha",13,2020-03-05,2032863,0.64
8,"Castilla-La Mancha",15,2020-03-07,2032863,0.74
8,"Castilla-La Mancha",289,2020-03-14,2032863,14.22
8,"Castilla-La Mancha",567,2020-03-16,2032863,27.89
8,"Castilla-La Mancha",675,2020-03-18,2032863,33.2
8,"Castilla-La Mancha",1819,2020-03-22,2032863,89.48
8,"Castilla-La Mancha",2465,2020-03-24,2032863,121.26
8,"Castilla-La Mancha",567,2020-03-17,2032863,27.89
8,"Castilla-La Mancha",1044,2020-03-20,2032863,51.36
9,"Cataluña",2,2020-02-27,7675217,0.03
9,"Cataluña",49,2020-03-08,7675217,0.64
9,"Cataluña",15,2020-03-02,7675217,0.2
9,"Cataluña",15,2020-03-04,7675217,0.2
9,"Cataluña",156,2020-03-11,7675217,2.03
9,"Cataluña",124,2020-03-10,7675217,1.62
9,"Cataluña",3,2020-02-28,7675217,0.04
9,"Cataluña",24,2020-03-06,7675217,0.31
9,"Cataluña",4203,2020-03-21,7675217,54.76
9,"Cataluña",24,2020-03-05,7675217,0.31
9,"Cataluña",24,2020-03-07,7675217,0.31
9,"Cataluña",75,2020-03-09,7675217,0.98
9,"Cataluña",7864,2020-03-24,7675217,102.46
9,"Cataluña",5,2020-02-29,7675217,0.07
9,"Cataluña",715,2020-03-15,7675217,9.32
9,"Cataluña",1394,2020-03-17,7675217,18.16
9,"Cataluña",2702,2020-03-19,7675217,35.2
9,"Cataluña",15,2020-03-03,7675217,0.2
9,"Cataluña",5925,2020-03-23,7675217,77.2
9,"Cataluña",260,2020-03-12,7675217,3.39
9,"Cataluña",6,2020-03-01,7675217,0.08
9,"Cataluña",509,2020-03-14,7675217,6.63
9,"Cataluña",1866,2020-03-18,7675217,24.31
9,"Cataluña",3270,2020-03-20,7675217,42.6
9,"Cataluña",4704,2020-03-22,7675217,61.29
9,"Cataluña",316,2020-03-13,7675217,4.12
9,"Cataluña",903,2020-03-16,7675217,11.77
10,"C. Valenciana",19,2020-03-04,5003769,0.38
10,"C. Valenciana",10,2020-02-29,5003769,0.2
10,"C. Valenciana",30,2020-03-07,5003769,0.6
10,"C. Valenciana",2,2020-02-27,5003769,0.04
10,"C. Valenciana",37,2020-03-08,5003769,0.74
10,"C. Valenciana",15,2020-03-02,5003769,0.3
10,"C. Valenciana",541,2020-03-17,5003769,10.81
10,"C. Valenciana",30,2020-03-06,5003769,0.6
10,"C. Valenciana",15,2020-03-03,5003769,0.3
10,"C. Valenciana",19,2020-03-05,5003769,0.38
10,"C. Valenciana",1105,2020-03-20,5003769,22.08
10,"C. Valenciana",15,2020-03-01,5003769,0.3
10,"C. Valenciana",65,2020-03-11,5003769,1.3
10,"C. Valenciana",94,2020-03-13,5003769,1.88
