"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
2020-06-25,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1870,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-26,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1870,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-27,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1871,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-28,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1871,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-29,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1872,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-06-30,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1872,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-01,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1872,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-02,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1874,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-03,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1874,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-04,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1874,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-05,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1876,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-06,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1876,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-07,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1876,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-08,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1876,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-09,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1877,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-10,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1877,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-11,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1877,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-12,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1878,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-13,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1880,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-14,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1880,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-15,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1881,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-16,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1883,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-17,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1885,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-18,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1886,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-19,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1886,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-20,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1887,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-21,"Santiago","Galicia",NA,NA,NA,NA,2,0,109,1890,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-22,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1892,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-23,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1893,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-24,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1896,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-25,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1897,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-26,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1899,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-27,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1904,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-28,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1910,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-29,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1916,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-30,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1921,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-07-31,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1922,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-01,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1925,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-02,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1926,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-03,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1927,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-04,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1935,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-05,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1938,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-06,"Santiago","Galicia",NA,NA,NA,NA,0,0,109,1942,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
2020-08-07,"Santiago","Galicia",NA,NA,NA,NA,1,0,109,1949,NA,NA,"Área sanitaria Santiago via @lipido","https://github.com/lipido/galicia-covid19/blob/master/santiago.csv;https://github.com/lipido/galicia-covid19/blob/master/santiago.ext.csv",NA
