"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments","","casos_acumul_old","recovered_old","deceased_old"
"2020-03-23","Coruña, A","Galicia","","","","267","340","45","12","","","30","galiciancovid19.info; galiciapress.es; diariodearousa.com; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1938186/vuelven-descender-pacientes-ingresados-uci-galicia-situan-92; https://www.diariodearousa.com/articulo/o-salnes/bajan-ingresos-uci-nuevos-fallecidos-areas-sanitarias/20200422234144262093.html; https://www.galiciapress.es/texto-diario/mostrar/1938186/vuelven-descender-pacientes-ingresados-uci-galicia-situan-92","","","","",""
"2020-03-24","Coruña, A","Galicia","","","","329","221","28","14","","","30","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1856720/aumentan-54-pacientes-ingresados-uci-hospitales-galicia; https://www.galiciapress.es/texto-diario/mostrar/1856720/aumentan-54-pacientes-ingresados-uci-hospitales-galicia; https://www.galiciapress.es/texto-diario/mostrar/1856720/aumentan-54-pacientes-ingresados-uci-hospitales-galicia","","","","",""
"2020-03-25","Coruña, A","Galicia","","","","384","292","35","19","","","36","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1857981/aumentan-69-pacientes-uci-galicia-409-hospitalizados-unidades-convencionales; https://www.galiciapress.es/texto-diario/mostrar/1857981/aumentan-69-pacientes-uci-galicia-409-hospitalizados-unidades-convencionales; https://www.galiciapress.es/texto-diario/mostrar/1857981/aumentan-69-pacientes-uci-galicia-409-hospitalizados-unidades-convencionales","","","","",""
"2020-03-26","Coruña, A","Galicia","","","","524","292","47","30","","","46","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1858946/ponton-bng-pide-anticipacion-xunta-propone-mesa-economica-social-encarar-futuro; https://www.galiciapress.es/texto-diario/mostrar/1858946/ponton-bng-pide-anticipacion-xunta-propone-mesa-economica-social-encarar-futuro; https://www.galiciapress.es/texto-diario/mostrar/1858946/ponton-bng-pide-anticipacion-xunta-propone-mesa-economica-social-encarar-futuro","","","","",""
"2020-03-27","Coruña, A","Galicia","","","","634","337","52","34","","","46","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1860191/xunta-hace-4500-titulos-libros-revistas-peliculas-plataforma-galiciale-accesibles; https://www.galiciapress.es/texto-diario/mostrar/1860191/xunta-hace-4500-titulos-libros-revistas-peliculas-plataforma-galiciale-accesibles; https://www.galiciapress.es/texto-diario/mostrar/1860191/xunta-hace-4500-titulos-libros-revistas-peliculas-plataforma-galiciale-accesibles","","","","",""
"2020-03-28","Coruña, A","Galicia","","","","715","354","67","38","","","65","galiciancovid19.info; laopinioncoruna.es; diariodeferrol.com","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/03/28/coronavirus-coruna--area-sanitaria/1489940.html; ; https://www.diariodeferrol.com/articulo/ferrol/primera-alta-ingresado-mismo-dia-virus-cobra-sexta-victima/20200328013003278020.html","","","","",""
"2020-03-29","Coruña, A","Galicia","","","","789","370","59","47","","","65","galiciancovid19.info; laopinioncoruna.es; diariodearousa.com; cope.es","https://galiciancovid19.info/; https://www.laopinioncoruna.es/sociedad/2020/03/29/coronavirus-coruna--200-ingresados/1490200.html; https://www.diariodearousa.com/articulo/barbanza/boirense-79-anos-es-primer-fallecido-covid-19-hospital-do-barbanza/20200328233647259932.html; https://www.cope.es/emisoras/galicia/a-coruna-provincia/ferrol/noticias/ochenta-nuevos-positivos-las-ultimas-horas-demarcacion-sanitaria-ferrol-20200329_661861","","","","",""
"2020-03-30","Coruña, A","Galicia","","","","1000","282","60","47","","","65","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1863576/pasan-planta-primeros-pacientes-ingresados-unidades-criticos-chus; https://www.galiciapress.es/texto-diario/mostrar/1863576/pasan-planta-primeros-pacientes-ingresados-unidades-criticos-chus;","","","","",""
"2020-03-31","Coruña, A","Galicia","","","","1114","446","74","61","","","93","galiciancovid19.info; galiciapress.es","https://galiciancovid19.info/; https://www.galiciapress.es/texto-diario/mostrar/1864853/aumentan-147-pacientes-ingresados-uci-galicia-13-lunes; ; https://www.galiciapress.es/texto-diario/mostrar/1864853/aumentan-147-pacientes-ingresados-uci-galicia-13-lunes","","","","",""
"2020-04-01","Coruña, A","Galicia","","","","1261","444","82","73","","","91","galiciancovid19.info; atlantico.net","https://galiciancovid19.info/; https://www.atlantico.net/articulo/galicia/pacientes-infectados-ingresados-uci-aumentan-10-situan-157-galicia/20200401170041766854.html; https://www.atlantico.net/articulo/galicia/pacientes-infectados-ingresados-uci-aumentan-10-situan-157-galicia/20200401170041766854.html; https://www.atlantico.net/articulo/galicia/pacientes-infectados-ingresados-uci-aumentan-10-situan-157-galicia/20200401170041766854.html","","","","",""
